uri,label
http://vocab.getty.edu/aat/300010358,materiaal
http://vocab.getty.edu/aat/300010358,materials (substances)
http://vocab.getty.edu/aat/300010358,material
http://vocab.getty.edu/aat/300010358,材料
http://vocab.getty.edu/aat/300010358,material (substance)
http://vocab.getty.edu/aat/300010358,materiales
http://vocab.getty.edu/aat/300010358,原料
http://vocab.getty.edu/aat/300010358,cái liào
http://vocab.getty.edu/aat/300010358,cai liao
http://vocab.getty.edu/aat/300010358,ts'ai liao
http://vocab.getty.edu/aat/300010358,materialen
http://vocab.getty.edu/aat/300010358,matériau
http://vocab.getty.edu/aat/300010358,matériaux (materials concept)
http://vocab.getty.edu/aat/300429325,mud block
http://vocab.getty.edu/aat/300429325,bloc de boue
http://vocab.getty.edu/aat/300264846,deposit
http://vocab.getty.edu/aat/300264846,deposits
http://vocab.getty.edu/aat/300264846,沉澱物
http://vocab.getty.edu/aat/300264846,chén diàn wù
http://vocab.getty.edu/aat/300264846,chen dian wu
http://vocab.getty.edu/aat/300264846,ch'en tien wu
http://vocab.getty.edu/aat/300264846,afzetting
http://vocab.getty.edu/aat/300262882,cutches (grouping for gold-shaping )
http://vocab.getty.edu/aat/300262882,cutches (herramienta de modelado de oro)
http://vocab.getty.edu/aat/300262882,cutches (gereedschap voor goudbewerking)
http://vocab.getty.edu/aat/300262882,cutch (grouping for gold-shaping )
http://vocab.getty.edu/aat/300262882,打箔襯紙 (塑金工具)
http://vocab.getty.edu/aat/300262882,dǎ bó chèn zhǐ
http://vocab.getty.edu/aat/300262882,da bo chen zhi
http://vocab.getty.edu/aat/300262882,ta po ch'en chih
http://vocab.getty.edu/aat/300262882,Quetschen (Metallbearbeitungswerkzeug)
http://vocab.getty.edu/aat/300262882,Quetsche (Metallbearbeitungswerkzeug)
http://vocab.getty.edu/aat/300262882,cutche (herramienta de modelado de oro)
http://vocab.getty.edu/aat/300014650,coarse-grain material
http://vocab.getty.edu/aat/300014650,"material, coarse-grain"
http://vocab.getty.edu/aat/300014650,grofkorrelig materiaal
http://vocab.getty.edu/aat/300014650,material de grano grueso
http://vocab.getty.edu/aat/300419957,allotropes
http://vocab.getty.edu/aat/300419957,allotrope
http://vocab.getty.edu/aat/300014612,aerosol
http://vocab.getty.edu/aat/300014612,aerosol
http://vocab.getty.edu/aat/300014612,氣溶膠
http://vocab.getty.edu/aat/300014612,qì róng jiāo
http://vocab.getty.edu/aat/300014612,qi rong jiao
http://vocab.getty.edu/aat/300014612,ch'i jung chiao
http://vocab.getty.edu/aat/300014612,aërosol
http://vocab.getty.edu/aat/300264237,material components
http://vocab.getty.edu/aat/300264237,material component
http://vocab.getty.edu/aat/300264237,"components, material"
http://vocab.getty.edu/aat/300264237,材料組件
http://vocab.getty.edu/aat/300264237,材料成分
http://vocab.getty.edu/aat/300264237,samengestelde stoffen
http://vocab.getty.edu/aat/300264237,Materialkomponenten
http://vocab.getty.edu/aat/300264237,componentes de materiales
http://vocab.getty.edu/aat/300015121,explosive
http://vocab.getty.edu/aat/300015121,explosives
http://vocab.getty.edu/aat/300015121,springstof
http://vocab.getty.edu/aat/300015121,explosief
http://vocab.getty.edu/aat/300015121,explosivo
http://vocab.getty.edu/aat/300010360,inorganic material
http://vocab.getty.edu/aat/300010360,anorganisch materiaal
http://vocab.getty.edu/aat/300010360,material inorgánico
http://vocab.getty.edu/aat/300265629,biological material
http://vocab.getty.edu/aat/300265629,"material, biological"
http://vocab.getty.edu/aat/300265629,生物材料
http://vocab.getty.edu/aat/300265629,biologische materialen
http://vocab.getty.edu/aat/300015379,gas (material)
http://vocab.getty.edu/aat/300015379,gas
http://vocab.getty.edu/aat/300015379,gas
http://vocab.getty.edu/aat/300015379,gases
http://vocab.getty.edu/aat/300015379,氣體 (材料)
http://vocab.getty.edu/aat/300015379,qì tǐ
http://vocab.getty.edu/aat/300015379,qi ti
http://vocab.getty.edu/aat/300015379,ch'i t'i
http://vocab.getty.edu/aat/300015379,gaz
http://vocab.getty.edu/aat/300015074,abrasion-resistant material
http://vocab.getty.edu/aat/300015074,"material, abrasion-resistant"
http://vocab.getty.edu/aat/300015074,slijtbestendig materiaal
http://vocab.getty.edu/aat/300015074,material resistente a la abrasión
http://vocab.getty.edu/aat/300015074,resistencia a la abrasión
http://vocab.getty.edu/aat/300210316,dispersion (material)
http://vocab.getty.edu/aat/300210316,分散 (材料)
http://vocab.getty.edu/aat/300210316,彌散
http://vocab.getty.edu/aat/300210316,分散體
http://vocab.getty.edu/aat/300210316,fēn sàn
http://vocab.getty.edu/aat/300210316,fen san
http://vocab.getty.edu/aat/300210316,fen san
http://vocab.getty.edu/aat/300210316,dispersie (materiaal)
http://vocab.getty.edu/aat/300210316,dispersión (material)
http://vocab.getty.edu/aat/300014693,abrasive
http://vocab.getty.edu/aat/300014693,abrasives
http://vocab.getty.edu/aat/300014693,研磨料
http://vocab.getty.edu/aat/300014693,磨料
http://vocab.getty.edu/aat/300014693,yán mó liào
http://vocab.getty.edu/aat/300014693,yan mo liao
http://vocab.getty.edu/aat/300014693,yan mo liao
http://vocab.getty.edu/aat/300014693,schuurmiddel
http://vocab.getty.edu/aat/300014693,abrasivo
http://vocab.getty.edu/aat/300014024,vezel
http://vocab.getty.edu/aat/300014024,fiber
http://vocab.getty.edu/aat/300014024,fibra
http://vocab.getty.edu/aat/300014024,fibre
http://vocab.getty.edu/aat/300014024,纖維
http://vocab.getty.edu/aat/300014024,fibers
http://vocab.getty.edu/aat/300014024,fibre
http://vocab.getty.edu/aat/300014024,fibres
http://vocab.getty.edu/aat/300014024,fibres
http://vocab.getty.edu/aat/300014024,xiān wéi
http://vocab.getty.edu/aat/300014024,xian wei
http://vocab.getty.edu/aat/300014024,hsien wei
http://vocab.getty.edu/aat/300014024,fibril
http://vocab.getty.edu/aat/300014024,fibra
http://vocab.getty.edu/aat/300379687,cartonnage (fiber product)
http://vocab.getty.edu/aat/300379687,cartonnage
http://vocab.getty.edu/aat/300379687,cartonage
http://vocab.getty.edu/aat/300434725,timber log
http://vocab.getty.edu/aat/300434725,bois de sciage
http://vocab.getty.edu/aat/300380553,pseudomorphs
http://vocab.getty.edu/aat/300380553,pseudomorph
http://vocab.getty.edu/aat/300380553,pseudomorfen
http://vocab.getty.edu/aat/300380553,pseudomorf
http://vocab.getty.edu/aat/300263651,molds (grouping for gold-shaping )
http://vocab.getty.edu/aat/300263651,mold (grouping for gold-shaping )
http://vocab.getty.edu/aat/300263651,moulds (ggrouping for gold-shaping )
http://vocab.getty.edu/aat/300263651,mould (grouping for gold-shaping )
http://vocab.getty.edu/aat/300263651,金箔模 (塑金工具)
http://vocab.getty.edu/aat/300263651,鑄模
http://vocab.getty.edu/aat/300263651,jīn bó mó
http://vocab.getty.edu/aat/300263651,jin bo mo
http://vocab.getty.edu/aat/300263651,chin po mo
