Book	Smell_Word	Smell_Source	Quality	Odour_Carrier	Evoked_Odorant	Location	Perceiver	Time	Circumstances	Effect	SentenceBefore	Sentence	SentenceAfter
bibbleue1002	senteurs						t				Non , je vous le promet , Si ce n ' est que mõnez m ' a dit entre autre chose Qu ' elle porte des gants qui sentent commerose , TERSANDRE .	Tu la prens pour un autre , elle craint les senteurs , Et dés là je te tiens le plus grand des m ē teurs ; Mais plus ie te regarde , & plus ie m ' imagine Qu ' en toy ie voy parestre & le port & la mine D ' un assez bon Valet , qui par legereté Depuis déja longtemps malgré moy m ' a quitté Les transports où i ' estois par ton faux témoignage M ' ont tantost empêché d ' obseruer ton visage Ie t ' ay vû sãs te voir , mais tu m ' otes d ' erreur , Et chasse loin de moy cette aveugle fureur Enfin voicy Beronte .	Beronte .
bibbleue1002	parfums					tombeaux					Vous qui n ' êtant pas moins sçav ĕ t qu ' irresolu Estes devenu borgne à force d ' avoir bû .	N ' auez vo9 point apris que ces vaines images Ne donnent de l ' effroy qu ' à des foibles courages ? Aprés que la Justice a nos ans limitez , Que nous importe - t - il où nos corps soi ē t iettez ? Qu ' ils soient sous des caillous , ou sous des pierreries , Au milieu des parfums , ou parmy des voiries , Posez sur des gibets ou mis en ces tombeaux , Et soient mangez des vers , ou mangez des corbeaux ; Tout est indifferent , ny loüange ny blâme Ne touchent un mortel quand il a r ē du l ' ame , Et quiconque a du cœur , au lieu de s ' étonner , Regarde d ' un œil sec son destin terminer .	LE BORGNE .
bibbleue1003	odeur	fleurs				vaste prairie	jeune enfant			cueillir	ÉVANGILE .	En ce temps - là un jeune enfant se promenoit dans une vaste prairie , toue couverte de fleurs , dont l ' odeur & l ' aspect l ' invitoient à les cueillir .	Or un vieillard qui savoit que cette prairie étoit infestée par des scorpions & d ' autres reptiles aussi dangereux , & voyant l ' enfant courir vers les fleurs , lui cria : Mon fils , n ' approche pas .
bibbleue1003	dépravation		pestilentielle								EPITRE .	La corruption la plus honteuse , la dépravation la plus pestilentielle , suivent les détracteurs de la sagesse ; & ce qu ' il y a de pis , on s ' accoutume insensiblement à toutes les horreurs du crime , ainsi qu ' à tous les blasphêmes d ' une turpitude infâme & grossière , qui vit dans le débordement .	Que la jeunesse républicaine y prenne garde , ce torrent grossit chaque jour , & la menace de subversion , si elle s ' y laisse entraîner .
bibbleue1012	puanteur		horrible	bouche							En mes exploits je n ' épargne personnes Je prends berger , porte couronne Je me ris de toute grandeur Je triomphe de la valeur , De la force de la noblesse Qui ne vit que dans la molesse , Le grossier & l ' homme d ' esprit , En son tems tout cela perit , Je ne fais point de difference D ' un valet & d ' une éminence , Je méprise l ' extraction , Le bonheur ou l ' affliction , Le pauvre aussi bien que le riche , Le liberal comme le chiche , En un mot & grands & petits , Assouvissant mes appetits , Mort abat toute vanité .	Je ternis la beauté mondaine Je fais tarit sources & fontaines , Je reduit toutes chose à rien D ' un corps mortel j ' en fais du fien De tel qui croit voir la lumiere Je le renverse dans la biere , Je mets le maître avec le cerf Je rompt les nerfs , Ces corps bien - faits ces femmes visages , Peins & fardez ainsi quelque jour , Par moy deviennent si mal faits , Qu ' on ne les peu plus voir jamais Où si l ' on les voit on se bouche , Aussi tôt le nez & la bouche , Car leur horrible puanteur Par la bouche & le nez répondent au coeur , Ainsi de beau je fais devenir laid , J ' attaque le poil vieux comme le poil folet , La chair en bon point bien nourrie , Je la rend bien plûtôt pourrie , Je l ' accable de mille maux , Je luy donne dix mil assauts , Soit par petite verolle , Maintenant par une rougeole Qui rend bien - tôt le teint terny , Fut - il plus qu ' un miroir uny , Et livîde comme la terre Fut - il aussi beau comme du verre , Mais aussi je fais le passage Pour aller tout à coup au celeste heritage Pourvû qu ' on soit homme de bien , Au contraire si l ' on ne vaut rien Je le conduit dedans la voye , De l ' Enfer cruel rabat joye , Où il va souffrir le tourment , Pour ses pechez bien tristement , Ainsi dans ma maison deserte , C ' est le lieu de gain ou de perte Soit qu ' on soit méchant ou bon , Et qu ' on soit un Monarque ou non , Car enfant dont on se délivre , N ' est pas né pour toûjours vivre Il faut aprés beaucoup de tours , Qu ' il vienne au dernier de ses jours , Qu ' il fasse bâtir édifices , Qu ' il achepte plusieurs offices , Qu ' il soit President ou Conseiller , Riche Marchand , pauvre Sellier , Tout cela ne sert pas d ' un zeste , A la mort il n ' a rien de reste , Puis qu ' en un mot pour trépasser , Il faut au monde tout laisser , Qu ' il entende s ' il veut la danse , Qu ' il soit un joueur d ' importance Qu ' il touche épinette ou luth , Que la maison soit son but , Je me moque de ses adresses , Je me raille de ses finesses , Il faut qu ' il vienne quelque jour , Comme on dit cuire à nôtre four , Comme toute humaine créature A la fin vient en pourriture C ' est le decret de l ' Eternel Prononcé contre le mortel .	Balade .
bibbleue1029	puante	fontaine|fontaine				fontaine|fontaine					Se laver en Claire fontaine , cela dénote joie .	Se laver en fontaine puante , cela dénote honte & ausse accusation .	Se voir êtnre changé en arbre , cela annonce joie .
bibbleue1031	onguent			tête				pendant trois jours			Se voir malade , cela dénote tristesse ou emprisonnement .	Prenez souffre pulvérisé 2 onces , alun pulvérisé 2 onces , graisse de sain de pourceau 3 onces , mettez le tout ensemble , formez - en une espèce d ' onguent avec lequel vous frotterez la tête teigneuse , pendant trois jours , et une fois seulement chaque jour .	RECETTE pour détruire les poux des enfants .
bibbleue1033	Odoriferentes	Fleurs									clusii .	Des Fleurs Odoriferentes .	LA couleur & l ’ odeur sont les deux principales qualitez qui font aimer les Fleurs : mais sçavoir la quelle des deux est preferable , c ’ est une question Il y à des Personnes qui n ’ aiment gueres les Fleurs si elles ne sentent bon , & ceuxcy preferent toûjours l ’ Oeillet à la Tulipe .
bibbleue1033	odeur|sentent	Fleurs|Fleurs	bon				Personnes				Des Fleurs Odoriferentes .	LA couleur & l ’ odeur sont les deux principales qualitez qui font aimer les Fleurs : mais sçavoir la quelle des deux est preferable , c ’ est une question Il y à des Personnes qui n ’ aiment gueres les Fleurs si elles ne sentent bon , & ceuxcy preferent toûjours l ’ Oeillet à la Tulipe .	D ’ autres , au contraire , n ’ en font point d ’ état , si elles ne sont revêtûës des plus riches eouleurs , c ’ est à dire des plus vives , & avec cela bien diversifiées : ceux - cy estimeront plûtôt la Tulipe , que la Rose ou l ’ Oeillet .
bibbleue1033	elles|odeurs	leurs	excellentes			Table					D ’ autres , au contraire , n ’ en font point d ’ état , si elles ne sont revêtûës des plus riches eouleurs , c ’ est à dire des plus vives , & avec cela bien diversifiées : ceux - cy estimeront plûtôt la Tulipe , que la Rose ou l ’ Oeillet .	Ainsi on voit la diversité des goûts & l ’ estime qu ’ en cecy chacun doit avoir la liberté de choisir ce qui est le plus conforme à son naturel Aussi je ne prêtens pas de regler ici Personne : mais de montrer en cette Table , qu ’ elles Fleurs sont estimées , à cause de leurs excellentes odeurs .	Que si vous me demandez encore de cellescy , qu ’ elles sont preferables aux autres , la même reponse que je viens de fairre , pourra servir .
