Book	Smell_Word	Smell_Source	Quality	Odour_Carrier	Evoked_Odorant	Location	Perceiver	Time	Circumstances	Effect	SentenceBefore	Sentence	SentenceAfter
bl11	fmell	Twenty									Leo .	Here ' s Twenty ponnd , go but fmell to ' em .	Lieu .
bl11	fmell	nothing					I|I				Lieu .	Alas Sir , I have taken fuch a cold , I can fmell nothing .	Leo .
bl11	fmell	a Rafcal	rank		like a tyred Jade		I				Leo .	I can fmell a Rafcal , a rank Rafcall : Fye , how he ftinks , ftinks like a tyred Jade .	2 Gent .
bl11	fmell	him					you				What Sir ? Leo .	Why , that Sir , Do not you fmell him ? 2 Gent .	Smell him ? Lieu .
bl11	Smell	him									Why , that Sir , Do not you fmell him ? 2 Gent .	Smell him ? Lieu .	I muft endure .
bl11	perfume					the room					Ant .	How ( hall I keep her off me - ? go , and perfume the room • • make all things ready .	Exit .
bl11	Perfum ' d|fmell	him					I				( Afide Cel .	Cnrl ' d and Perfum ' d ? I fmell him ; he looks on ' s Legs too , fure he will cut a Caper ; God a Mercy dear December .	Ant .
bl11	fmells	of dying Flowers	Faint			in				carry no comforts	1 am reading , Sir , of a fhort Treatife here , that ' s cail ' d the Vanity of Lull .	- Has your Grace ieen it ? He fays here , that an Old Man ' s loofe delire , delire , is like the Glow - worms light , the Apes fo wondr ' d at : which , when they gather ' d Sticks , and laid upon ' t , and blew , and blew , turn ' d Tail , and went out pVefently : And in another place he calls their Loves , Faint fmells of dying Flowers , carry no comforts • they ' r doting , ftinking Foggs , fo thick and muddy , Reafon with all his beams cannot beat through ' em .	y _ wt .
bl11	Perfumes			Groomes							SCENE I .	Enter 2 Ufhers , and Groomes with Perfumes , i Vfher .	Ound , round , perfume it round , quick , look ye diligent - ♦ ^ ly the ftate be right ; Are thefe the Richeft Cufhions ? JLX _ Fie , fie , who waits i ' th ' Wardrobe ? 2 Vfh .
bl11	fmells	it	mufty								Quick , good Governefs : Fie on ' t , Howbeaftly it becomes me ? nporly nporly ? A trick put upon me ? well faid Governefs .	* I vow I would norwear it out , it fmells mufty .	Are thefe your tricks .
bl11	fmell	it	abominable mufty				I				Are thefe your tricks .	now I begin to fmell it abominable mufty ; Will ye help me ? The Prince will come ' again - Gov .	.
bl12	smell	the gumms					me				Mel .	Oh turn not from me ; let me smell the gumms .	Which thy rich breath creates .
bl12	perfumes|aromates		Peisian								) In prodigall contrivcmcnts , how t * allay The furious heat with artificiall snowcs , And drinks his wine in ice .	Spring ' s alwayes there , And paynts the valleys : whilst a temperate ayre Sweeps their cmbroydrcd face with his curl ' d gales , ' And breaths perfumes , no Peisian aromates : Pontick Amomus , or Indian baTsame Can imitate .	There night doth never spread Her ebon wings ; but daylight ' s alwayes there , And one blest season crownes th ' eternall ycarc .
bl12	Smelling	Mine									Pray sir your name ? Smel .	Mine is Smelling .	I am my Ladies Huntsman , and - keepe some lesler beagles for her chamber - use to excuse the freenesse of her necessities eruptions .
bl12	breath|perfum ' d		very stinking				My				I play the Gardner likewise , and attend her a ' waies when shee goes to pluck a Rose .	My Miltrtsse Cloaca had a very stinking breath , before Mifackmos perfum ' d her , and she IS now grownelesse common , then when her imperfections imperfections lay open .	When you willuse me sir , you shall alwaies alwaies have me under your nose .
bl12	smell|strew	Saba|with spices					thy				Sens .	For thy smell Saba shall be translated where thou go ' st , And strew thy path with spices .	Panthers skins Shall bethy couch , and amber pave the floore Where thy foot treads .
bl12	breath|perfume									To create a Phœnix	Panthers skins Shall bethy couch , and amber pave the floore Where thy foot treads .	This breath ' s perfume enough To create a Phœnix , Wouldst delight thy taste ? Th « To his beloved friend Master * Thomas D ^ ahhes , SEEING thy Microcofinus , / began To contemplate the partsthat make up Man e ^ little World .	IfoundeachMonll rights All was instruction mingled with delight .
bl12	Smelling				a Huntsman or Gardner						Hearing the usner of the Hall .	Smelling a Huntsman or Gardner .	Tasting a Cooke * .
bl12	perfumes			fptcte ayre							& lt ; 1 Microcofitm * The Song .	Welcome , welcome happy payrc To thefe abodes , where fptcte ayre Breaths perfumes , and every fenfe Doth find his ob ; eEls excellence - Where ' s no hea ' e , nor cold extreme ; No winters ice , nor fuvtmer s fcorching beame .	Where s nofunjet never night alwayesfprtngingfrom et email light .
bl18	odor	of her lungs									Val .	He has preservative Against the odor of her lungs .	zAur .
