id	year	author	title	tags	link
000000874	1676	Remaʿ.	A Warning to the inhabitants of England, and London in particular ... By M. A. [i.e. Mary Adams.]
000001143	1679	A., T.	A Satyr against Vertue. (A poem: supposed to be spoken by a Town-Hector. [By John Oldham. The preface signed: T. A.])
000051983	1659	ALIMONY, Lady	Lady Alimony; or, the Alimony Lady. An excellent pleasant new comedy, etc. [In verse and prose. By Thomas Lodge and Robert Greene?]
000059805	1623	ALMANSA Y MENDOZA, Andrés de.	Two Royall Entertainments, lately given to ... Charles, Prince of Great Britaine, by ... Philip the fourth, King of Spaine ... Translated out of the Spanish originals [beginning “A Doña Vitoria Colona,” and “A la Villa de Madrid” respectively], etc
000075704	1694	DAWES, William	Anatomy of Atheisme: a poem. By a person of quality [i.e. William Dawes, afterwards Archbishop of York]
000106622	1633	ARDEN, Thomas	Lamentable and True Tragedy of Master Arden of Feversham in Kent; who was most wickedly murdered by the meanes of his disloyall and wanton wife; who, for the love she bare to one Mosby, hired two desperate ruffins, Blacke-Will, and Shakebag, to kill him. [In verse.]
000109780	1696	ARIADNE, pseud.	She Ventures, and He Wins. A comedy ... Writen by a Young Lady. [The preface signed: Ariadne.]
000111406	1651	J., F.	Πλουτοφθαλμια πλουτογαμια. A pleasant comedie, entituled Hey for Honesty, Down with Knavery. Translated out of Aristophanes his Plutus, by Tho: Randolph. Augmented and published by F. J. [i.e. F. Jaques or Jacques?]
000159302	1647	Brewer, Anthony	Countrie Girle. A comedie ... [In verse.] By T. B
000188917	1679	BANCROFT, John	Tragedy of Sertorius, etc. [In verse.]
000190864	1685	BANKS, John	[The Unhappy Favourite: or, the Earl of Essex. A tragedy. [Inverse.] etc.]
000190878	1692	BANKS, John	[Vertue Betray'd: or, Anna Bullen. A tragedy, etc. [In verse.]]
000211229	1681	BARRISTER-AT-LAW	A Vote for Moderate Counsels ... An ode, by a Barrister at Law
000215595	1649	BARTHOLOMEW FAIRING	A Bartholomew Fairing, new, new, new: sent from the raised siege before Dublin as a preparatory present to the great thanksgiving day. To be communicated onely to Independents. [A satirical drama, chiefly in prose.]
000241254	1640	BEAUMONT, Francis.	Poems ... viz. The Hermaphrodite. The Remedie of Love. Elegies. Sonnets, with other poems
000241263	1679	BEAUMONT, Francis	[Comedies and Tragedies ... Never printed before, and now published by the authours originall copies. [With a portrait of Fletcher.]]
000241326	1630	BEAUMONT, Francis	Cupids Revenge ... Written by Fran. Beaumont &amp; Io. Fletcher, Gentlemen ... The second edition
000241330	1651	BEAUMONT, Francis	Elder Brother: a Comedie ... Written by F. Beaumont and J. Fletcher [or more probably written by Fletcher, and revised by Massinger] ... The second edition, corrected and amended
000241331	1678	BEAUMONT, Francis	[The Elder Brother: a Comedie ... Written by F. Beaumont and J. Fletcher [or more probably written by Fletcher, and revised by Massinger] ... The second edition, corrected and amended.]
000241337	1687	BEAUMONT, Francis	Island-Princess ... [Here attributed to Beaumont and Fletcher, but more probably by Fletcher alone.] Reviv'd with alterations. By N. Tate. Gent
000241341	1631	BEAUMONT, Francis	[A king and no king. London 1619.]
000241342	1639	BEAUMONT, Francis	[A king and no king. London 1619.]
000241345	1676	BEAUMONT, Francis	[A king and no king. London 1619.]
000241362	1635	BEAUMONT, Francis	[The knight of the burning pestle.]
000241385	1638	BEAUMONT, Francis	revised and refined. [With a woodcut.]
000241387	1650	BEAUMONT, Francis	revised, etc. [With a woodcut.]
000241403	1634	BEAUMONT, Francis	[Philaster, 1622.]
000241404	1639	BEAUMONT, Francis	[Philaster, 1622.]
000241406	1661	BEAUMONT, Francis	[Philaster, 1622.]
000241411	1695	BEAUMONT, Francis	Philaster ... Revis'd, and the two last acts new written [by Elkanah Settle]
000241456	1625	BEAUMONT, Francis	[The Scornful Ladie ... 1616.]
000241461	1677	BEAUMONT, Francis	[The Scornful Ladie ... 1616.]
000241462	1691	BEAUMONT, Francis	[The Scornful Ladie ... 1616.]
000241474	1648	BEAUMONT, Francis	[The Tragedy of Thierry King of France, and his Brother Theodoret, etc. [By F. Beaumont and J. Fletcher, and probably revised by Massinger.] [In five acts and in verse.]]
000241480	1639	BEAUMONT, Francis	Wit without Money. A comedie ... Written by F. Beamount [sic], and J. Flecher, Gent. [or rather, by Fletcher alone]
000241480	1639	BEAUMONT, Francis	Wit without Money. A comedie ... Written by F. Beamount [sic], and J. Flecher, Gent. [or rather, by Fletcher alone]
000241487	1648	BEAUMONT, Francis	[The Woman Hater [a comedy, in five acts, in prose and verse; by J. Fletcher and F. Beaumont?].]
000242317	1685	BEAUTY	Mistaken Beauty, or, the Lyar. A comedy. [A translation of P. Corneille's “Le Menteur.”]
000248501	1679	BEDLOE, William.	Excommunicated Prince: or, the False relique. A tragedy. As it was acted by His Holiness's servants. Being the Popish Plot in a play. [In verse.]
000252167	1682	Behn, Aphra	City-Heiress: or, Sir Timothy Treat-all. A comedy
000252168	1698	Behn, Aphra	[The City-Heiress: or, Sir Timothy Treat-all. A comedy.]
000252173	1673	Behn, Aphra	Dutch Lover: a comedy ... Written by Mrs. A. Bhen [sic]
000252175	1688	Behn, Aphra	[[The] Emperor of the Moon: a farce, etc.]
