id	year	author	title	tags	link
000000196	1841	A. A.	Poetical Aviary, with a bird's-eye view of the English poets. [The preface signed: A. A.] Ms. notes
000001052	1847	A., R.	[A Wife, not ready made, but bespoken, by Dicus the batchelor, and made up for him by his fellow shepheard Tityrus. In four pastorall eglogues. [The dedication signed: R. A., i.e. Robert Aylett.] The second edition, etc.]
000001484	1840	AA, Abraham Jacob van der.	Aardrijkskundig Woordenboek der Nederlanden, bijeengebragt door A. J. van der Aa, onder medewerking van eenige Vaderlandsche Geleerden
000001484	1840	AA, Abraham Jacob van der.	Aardrijkskundig Woordenboek der Nederlanden, bijeengebragt door A. J. van der Aa, onder medewerking van eenige Vaderlandsche Geleerden
000001484	1840	AA, Abraham Jacob van der.	Aardrijkskundig Woordenboek der Nederlanden, bijeengebragt door A. J. van der Aa, onder medewerking van eenige Vaderlandsche Geleerden
000001484	1840	AA, Abraham Jacob van der.	Aardrijkskundig Woordenboek der Nederlanden, bijeengebragt door A. J. van der Aa, onder medewerking van eenige Vaderlandsche Geleerden
000001484	1840	AA, Abraham Jacob van der.	Aardrijkskundig Woordenboek der Nederlanden, bijeengebragt door A. J. van der Aa, onder medewerking van eenige Vaderlandsche Geleerden
000001484	1840	AA, Abraham Jacob van der.	Aardrijkskundig Woordenboek der Nederlanden, bijeengebragt door A. J. van der Aa, onder medewerking van eenige Vaderlandsche Geleerden
000001484	1840	AA, Abraham Jacob van der.	Aardrijkskundig Woordenboek der Nederlanden, bijeengebragt door A. J. van der Aa, onder medewerking van eenige Vaderlandsche Geleerden
000001484	1840	AA, Abraham Jacob van der.	Aardrijkskundig Woordenboek der Nederlanden, bijeengebragt door A. J. van der Aa, onder medewerking van eenige Vaderlandsche Geleerden
000001484	1840	AA, Abraham Jacob van der.	Aardrijkskundig Woordenboek der Nederlanden, bijeengebragt door A. J. van der Aa, onder medewerking van eenige Vaderlandsche Geleerden
000001484	1840	AA, Abraham Jacob van der.	Aardrijkskundig Woordenboek der Nederlanden, bijeengebragt door A. J. van der Aa, onder medewerking van eenige Vaderlandsche Geleerden
000001484	1840	AA, Abraham Jacob van der.	Aardrijkskundig Woordenboek der Nederlanden, bijeengebragt door A. J. van der Aa, onder medewerking van eenige Vaderlandsche Geleerden
000001484	1840	AA, Abraham Jacob van der.	Aardrijkskundig Woordenboek der Nederlanden, bijeengebragt door A. J. van der Aa, onder medewerking van eenige Vaderlandsche Geleerden
000001484	1840	AA, Abraham Jacob van der.	Aardrijkskundig Woordenboek der Nederlanden, bijeengebragt door A. J. van der Aa, onder medewerking van eenige Vaderlandsche Geleerden
000001929	1839	WITKAMP, Pieter Harme.	De Aardbol. Magazijn van hedendaagsche land- en volkenkunde ... Met platen en kaarten. [Deel 4-9 by P. H. W.]
000001929	1839	WITKAMP, Pieter Harme.	De Aardbol. Magazijn van hedendaagsche land- en volkenkunde ... Met platen en kaarten. [Deel 4-9 by P. H. W.]
000001929	1839	WITKAMP, Pieter Harme.	De Aardbol. Magazijn van hedendaagsche land- en volkenkunde ... Met platen en kaarten. [Deel 4-9 by P. H. W.]
000001929	1839	WITKAMP, Pieter Harme.	De Aardbol. Magazijn van hedendaagsche land- en volkenkunde ... Met platen en kaarten. [Deel 4-9 by P. H. W.]
000001929	1839	WITKAMP, Pieter Harme.	De Aardbol. Magazijn van hedendaagsche land- en volkenkunde ... Met platen en kaarten. [Deel 4-9 by P. H. W.]
000001929	1839	WITKAMP, Pieter Harme.	De Aardbol. Magazijn van hedendaagsche land- en volkenkunde ... Met platen en kaarten. [Deel 4-9 by P. H. W.]
000001929	1839	WITKAMP, Pieter Harme.	De Aardbol. Magazijn van hedendaagsche land- en volkenkunde ... Met platen en kaarten. [Deel 4-9 by P. H. W.]
000001929	1839	WITKAMP, Pieter Harme.	De Aardbol. Magazijn van hedendaagsche land- en volkenkunde ... Met platen en kaarten. [Deel 4-9 by P. H. W.]
000001929	1839	WITKAMP, Pieter Harme.	De Aardbol. Magazijn van hedendaagsche land- en volkenkunde ... Met platen en kaarten. [Deel 4-9 by P. H. W.]
000001929	1839	WITKAMP, Pieter Harme.	De Aardbol. Magazijn van hedendaagsche land- en volkenkunde ... Met platen en kaarten. [Deel 4-9 by P. H. W.]
000003458	1841	ABBING, Cornelis Alard.	Geschiedenis der Stad Hoorn, hoofdstad van West-Vriesland gedurende het grootste gedeelte der XVII en XVIII eeuw, of vervolg op Velius Chronyk, beginnende met het jaar 1630, met aanteekeningen en bijlagen uitgegeven door C. A. Abbing
000004336	1843	ABBOTT, James	Narrative of a journey from Heraut to Khiva, Moscow and St. Petersburgh, during the late Russian invasion of Khiva. With some account of the court of Khiva and the kingdom of Khaurism
000005382	1847	A'BECKETT, Gilbert Abbott.	Comic History of England ... With ... coloured etchings, and ... woodcuts, by John Leech
000008411	1845	ABRAHAM, Charles John	Unity of History; or, Outlines of lectures on ancient and modern history, considered on Church principles
000009331	1843	ABREU E LIMA, José Ignacio de	Compendio da Historia do Brasil ... Com retratos
000011836	1840	ACKERSDIJCK, Jan.	Verhaal eener Reize in Rusland gedaan in het jaar 1835
000013141	1844	ADAIR, Robert	Historical Memoir of a Mission to the Court of Vienna in 1806. With a selection from his despatches
000014052	1847	Adam, William	Description of Buxton, Chatsworth, and Castleton ... Abridged from Adam's “Gem of the Peak.”
000014703	1846	ADAMS, Charles Baker.	First (-Third) Annual Report on the Geology of the State of Vermont
000017276	1845	ADAMSON, John	Reply of Camoens (supposed to have been given ... to a fidalgo, who requested him to compose some verses for him). [In verse.]
000017277	1845	ADAMSON, John	Sonnets
000018108	1846	Addison, George Augustus	Original familiar correspondence between residents in India, including sketches of Java, etc., etc
000018125	1839	ADDISON, Henry Robert.	Rhine, it's banks and environs, etc
000019505	1848	ADEN, Town of	Historical and Statistical Sketches of Aden ... during a two years' residence ... By an officer in the Queen's Army
000019927	1846	ADINOLTI, Giovanni Alfonso.	Storia della Cava, distinta in tre epoche
000020343	1844	ADLER, G. K.	Berneck und seine nächsten Umgebungen ... Zweite, ganz umgearbeitete Auflage
000021095	1840	ADOLPHUS, John	History of England, from the Accession to the Decease of King George the Third
000021095	1840	ADOLPHUS, John	History of England, from the Accession to the Decease of King George the Third
000021095	1840	ADOLPHUS, John	History of England, from the Accession to the Decease of King George the Third
