id	year	author	title	link
duyc001jour07_01.nederlab.folia.txt	1866	anthony duyck	journaal. deel 3, boek 7	https://www.dbnl.org/titels/titel.php?id=duyc001jour07
_vol001volk01_01.nederlab.folia.txt	1789-1807	anoniem	volks-liedjens, uitgegeeven door de maatschappij tot nut van 't algemeen (5 delen)	https://www.dbnl.org/titels/titel.php?id=_vol001volk01
twai001lotg10_01.nederlab.folia.txt	1909	mark twain	de lotgevallen van tom sawyer	https://www.dbnl.org/titels/titel.php?id=twai001lotg10
huyg001jawo04_01.nederlab.folia.txt	1634-1639	constantijn huygens	briefwisseling. deel 2: 1634-1639	https://www.dbnl.org/titels/titel.php?id=huyg001jawo04
_jaa002189601_01.nederlab.folia.txt	1896	jaarboek van de maatschappij der nederlandse letterkunde [1801-1900]	jaarboek van de maatschappij der nederlandse letterkunde, 1896	https://www.dbnl.org/titels/titel.php?id=_jaa002189601
poor042jour01_01.nederlab.folia.txt	1710	willem pieterse poort	het journaal en daghregister van dirk jacobsz. tayses avontuurelyke reyse na groenlandt, gedaen met het schip den dam, in t jaar 1710	https://www.dbnl.org/titels/titel.php?id=poor042jour01
coor001nade02_01.nederlab.folia.txt	1630	d.v. coornhert	nadencken opt sevende capittel totten romeynen	https://www.dbnl.org/titels/titel.php?id=coor001nade02
_van002190001_01.nederlab.folia.txt	1900	van nu en straks	van nu en straks. nieuwe reeks. jaargang 4	https://www.dbnl.org/titels/titel.php?id=_van002190001
pier003inti01_01.nederlab.folia.txt	1861	allard pierson	intimis	https://www.dbnl.org/titels/titel.php?id=pier003inti01
coor001godt02_01.nederlab.folia.txt	1630	d.v. coornhert	van godt	https://www.dbnl.org/titels/titel.php?id=coor001godt02
vond001pasc02_01.nederlab.folia.txt	1636	joost van den vondel	het pascha ofte de verlossinge israëls uyt egypten	https://www.dbnl.org/titels/titel.php?id=vond001pasc02
cons001voll12_01.nederlab.folia.txt	1912	hendrik conscience	volledige werken 12. baas gansendonck. een zeemanshuisgezin. de dichter en zijn droombeeld. eene uitvinding des duivels.	https://www.dbnl.org/titels/titel.php?id=cons001voll12
_nie088nieu01_01.nederlab.folia.txt	1790	anoniem	een nieuw jagers lied	https://www.dbnl.org/titels/titel.php?id=_nie088nieu01
corn001dood01_01.nederlab.folia.txt	1684	p. corneille	de dood van pompeus	https://www.dbnl.org/titels/titel.php?id=corn001dood01
_gee010gees01_01.nederlab.folia.txt	1631	anoniem	't geestelijck kruydt-hofken	https://www.dbnl.org/titels/titel.php?id=_gee010gees01
hano001dutc01_01.nederlab.folia.txt	1697	a.j. hanou	'dutch periodicals from 1697 to 1721: in imitation of the english?'	https://www.dbnl.org/titels/titel.php?id=hano001dutc01
_nie048nieu01_01.nederlab.folia.txt	1797	anoniem	een nieuw lied. op het beklag der dochters	https://www.dbnl.org/titels/titel.php?id=_nie048nieu01
scha024mens04_01.nederlab.folia.txt	1900	h.j.a.m. schaepman	menschen en boeken. verspreide opstellen. deel 4	https://www.dbnl.org/titels/titel.php?id=scha024mens04
los_003gale01_01.nederlab.folia.txt	1844	g. (pz.) los	galerij van mannelijke bedrijven voor de nederlandsche jeugd	https://www.dbnl.org/titels/titel.php?id=los_003gale01
