Book	Smell_Word	Smell_Source	Quality	Full_Sentence
d2p1612	rime	clerke		Ende die clerke die dese rime makede , Diere om pijnde ende wakede Gode ende onzer vrouwen teren , Datter tuolc ane moete leren , Zonder einde moet zine ziele Zijn metten inghel zente Michiele , Ende rusten in den hoghen trone .
d2p1612	stinckt	uw ontkennen		Maer ghij verscheent ' er noyt , en om dat halve lijck Stondt sulck ' een dichte wolck van suchtende getuygen , Dat uw ontkennen stinckt en stort sich selfs in duygen .
d2p1612	rike	haer		van ‘ hare wise wondere ’ , ‘ haer rike ’ , het groote ‘ goet ’ .
d2p1612	rikelike	een beerehuut		Herhaling derzelfde woorden of uitdrukkingen , vooral in den aanhef , aan het begin van versregels ( anaphora ) ( typen : binnen sconinx vrede Ende binnen sconinx gheleede , Hoe es di dese beere ontgaen Die di te voren was ghevaen , Hoe rikelike een beerehuut Heefstu .
d2p1612	riekt	tegenstelling|sijn eighijn		Vri in absoluut gebruik ( 2301 , 2320 ) is wellicht niet overal zoo te vinden ; de tegenstelling met sijn eighijn ( 2322 ) riekt ook naar de didactiek ( als in den Wapene Martijn , doch zie boven , 222 ) .
d2p1009	geuren|ruiken	de velden		Ik dook in mij en deed toch niets dan duiken In u , oneindigheid , gespannen buiten mij , Ik kon de geuren van de velden ruiken ; - Waren de velden in of buiten mij ? Ik wou den hemel tot mij binnenhalen , - En open sloeg het denken van mijn ziel ; Het eerste wat ik zag bij ademhalen Was het heelal dat in mijn oogen viel .
d2p1608	ruikend		heerlijk	Naar Mieldert ! naar het vriendelijke Mieldert met de snoezige stationchefswoning en prachtig mooi , heerlijk ruikend , kleurig groeiend en bloeiend stationchefstuintje .
d2p1608	geur	Marietje|s jonkvrouwelijke lieftalligheid		Onwillekeurig deed hij een stap vooruit en ging in de deur staan , als om haar te belet - ten binnen te dringen in zijn huiselijk kantoortje , in het kleine vertrek waar nog zweefde de geur van Marietje ' s jonkvrouwelijke lieftalligheid .
d2p1608	neus|parfum		sterk	Sufferig keek hij toe , dat Bertha met pronkerig gebaar plaats nam , haar breede japon en ruischende rokken uitspreidend , en er het heele vertrekje mee innemend , en Piet in den neus jagend een sterk parfum , dat hem benevelde en soezerig maakte en hem , alhoewel met tegenzin , aantrekkelijkheid deed vinden in haar nabijzijn .
d2p1608	ruiker	frissche bloemen		Soms zou hij wel wagen een strijdlied aan zijn vaderland te zingen ( Vaterland ) , maar dit valt zelden voor ; liever zingt hij van zijn moeder ( Die feinen Ohren ) , van zijn vrouw , van zijn kinderen , die hem storen in de lezing van Kellers gedichten ( Künstler ) of hem een ruiker frissche bloemen aanbie - den ( Unschuld ) .
