Book	Smell_Word	Smell_Source	Quality	Full_Sentence
d3p1848	rigtte	bloem|kruid		Hoe welig bloeiden bloem en kruid ! Doch hij trad voort met meerder ' spoed , En rigtte ' t oog , onafgewend , Op ' t einddoel van zijn ' verren togt : Och ! of hij ' t dra bereiken mogt ! En wie hem daar wel ' t eerst herkent ? Ginds aan den tolboom staat zijn vrind , De makker van zijn blijde jeugd , En deelgenoot in leed en vreugd , Hij had hem altoos trouw bemind .
d3p201	stinkend	vocht		In den vyver , wierd de rest , Door het stinkend vocht verpest , Dood of stervend toch gevangen .
d3p201	geur '	'|Viooltje|bloemen		' t Viooltje , ryk in geur ' ge bloemen , Kroop needrig langs den blooten grond , En hoorde duizend monden roemen Een ' Tulp , die in het bloemperk stond ; Die , op een ryzig , tenger steeltje Een ' één ' gen , yd ' len kelk verhief : ' t Viooltje , ootmoedig , ' s engels beeldje , Had toch de Tulp van herten lief .
d3p201	geur	rotte vruchten	walgelyk	Des and ' ren dags , gaet - weêr de zoon By zyne makkers zich vervoegen : Gedurend ' zyne afwezigheid Wordt hem een ' goede les bereid : Men gaêrt een ' heelen korf Oranjen , Wier weêrga nauwlyks was in Spanjen , Gezond en frisch en schoon van kleur : Daertusschen mengt men rotte vruchten , Bedorven , walgelyk van geur .
d3p201	geur	rotte vruchten	walgelyk	Des and ' ren dags , gaet - weêr de zoon By zyne makkers zich vervoegen : Gedurend ' zyne afwezigheid Wordt hem een ' goede les bereid : Men gaêrt een ' heelen korf Oranjen , Wier weêrga nauwlyks was in Spanjen , Gezond en frisch en schoon van kleur : Daertusschen mengt men rotte vruchten , Bedorven , walgelyk van geur .
d3p201	stank	heel|korf		Hoe bitter viel nu Jan aen ' t klagen : Ik had het wel voorzien ! heb ik het niet gezeid ? Wat jammer ! heel de korf is stank en vuiligheid ! - De vader zegt : Myn zoon , dit kon ik ook voorzeggen ! Maer ' k wil u door dien korf op heden uit doen leggen , Hetgeen gy nimmer hebt verstaen : ' t Zou even zoo met u , als met die vruchten gaen , Bleeft gy in slecht gezelschap steken : Gelooft gy my niet , vriend , laet ondervinding spreken .
d3p201	geurt	vrucht|vrucht		Spyts den regen , ondanks stormen , Zyne bloem verhutselt niet , Dan om zich tot vrucht te vormen : Schoone vrucht die groent en groeit ! Waerde vrucht , die geurt en gloeit ! Ryke vrucht , die twyg en takken Door ' t gewigt doet nederzakken , En tot roem des boomgaerds strekt ! Die elks liefde en eetlust wekt , Die elk gretig komt belonken ! - Hoe mag deze vrucht niet pronken , Nu des konings adelstoet Op zyn gastmael is begroet ! Onder ' t zoet der dischgenugten , Roemt elk goudlings lekk ' re vruchten : Niemand denkt de zwetster na , Elk vergeet Camelia .
d3p201	snuflend|ruikend			Lange schaper had een ' Hond , Slecht , zeer slecht de kudden wachtend ' ; Meer naer eigen voordeel trachtend ' , Dan naer trouw in ' t pligtverbond : Menig lekker brokje sluikend ' , Steeds al snuflend ' en al ruikend ' , Liep hy veel door bosch en veld .
d3p201	geur	der schapenham		Als de geur der schapenham , ' t Lokaes , hem in ' t neusgat kwam , Dan kon niets zyn ' drift beteug ' len : Lust bezielt hem , geeft hem vleug ' len , En de fielt , in een , twee , dry , Was er daedlyk aen en by .
d3p201	reuk	Ambergeur	zeer aengename	- Ambergeur ; zeer aengename reuk .
d3p201	reuk	Ambergeur	zeer aengename	- Ambergeur ; zeer aengename reuk .
d3p252	reukjes	ouden Mongool	ergere	Er bestaan in China nog ergere reukjes dan die van een vilten pantoffel van een ouden Mongool , dat zul je nog wel eens ondervinden .
d3p252	reukjes	ouden Mongool	ergere	Er bestaan in China nog ergere reukjes dan die van een vilten pantoffel van een ouden Mongool , dat zul je nog wel eens ondervinden .
d3p252	ruiker	witte bloemen		’ Nikol had een ruiker witte bloemen geplukt , die hier tusschen de steenen groeiden en veel gelijken op edelweiss , alleen maar grooter zijn .
d3p252	geurige	thee		Het glas geurige thee , dat Tatiana hare gasten schonk , smaakte echter toch anders dan de liefdegift van de Mongoolsche vrouwen en Nikol en Heiner verheugden zich na den langen rit en het onweer over de laving .
d3p252	ruikertje	edelweiss		Zijn ruikertje edelweiss had zij aan haar loshangend jakje van violet fluweel met bont omzoomd , gestoken .
d3p252	lucht		muffe	Een weldadige warmte , doch reiner en frisscher dan in de muffe lucht van de joert trok door zijn lichaam .
d3p252	stank		verschrikkelijke	Vuil van allerlei soort lag in de straten van Kalgan en een verschrikkelijke stank drong uit de huizen naar buiten .
