Smell_Word	Smell_Source	Odour_Carrier	Perceiver	Quality	Effect	Evoked_Odorant	Creator	Circumstances	Location	Time	Title	Annotator
verduften											LITERATURE_020G 1835 Arnim, Bettina von_ Goethe_s Briefwechsel mit einem Kinde. Bd. 1. Berlin, 1835.txtah_potentially_smelly_passages_725.txt	annotator11.tsv
Wohlgerüchen											LITERATURE_020G 1835 Arnim, Bettina von_ Goethe_s Briefwechsel mit einem Kinde. Bd. 1. Berlin, 1835.txtah_potentially_smelly_passages_725.txt	annotator11.tsv
Duft											LITERATURE_020G 1835 Arnim, Bettina von_ Goethe_s Briefwechsel mit einem Kinde. Bd. 1. Berlin, 1835.txtah_potentially_smelly_passages_725.txt	annotator11.tsv
verdufte											LITERATURE_020G 1835 Arnim, Bettina von_ Goethe_s Briefwechsel mit einem Kinde. Bd. 1. Berlin, 1835.txtah_potentially_smelly_passages_725.txt	annotator11.tsv
wohlriechende	Kraͤuter			wohlriechende	Zur Erhaltung des Leichnams						TRAVEL_ETHNOGRAPHY_052G 1777 Engelbert Kaempfer Geschichte und Beschreibung von Japan. Hrsg. v. Christian Wilhelm von Dohm. Bd. 1. Lemgo, 1777.txtar_potentially_smelly_passages_2290.txt	annotator9.tsv
aromatiſchen	Subſtanzen										HOUSEHOLD_RECIPES_068G 1896 Heinrich Samter Das Reich der Erfindngen. Berlin, 1896..txtba_potentially_smelly_passages_138.txt	annotator11.tsv
wohlriechende	Seyffe										MEDICINE_BOTANY_019G 1699 Abel, Heinrich Kaspar_ Wohlerfahrner Leib-Medicus der Studenten. Leipzig.txtao_potentially_smelly_passages_1373.txt	annotator11.tsv
riechende	Stiffel-Wichſe			wohl							MEDICINE_BOTANY_019G 1699 Abel, Heinrich Kaspar_ Wohlerfahrner Leib-Medicus der Studenten. Leipzig.txtao_potentially_smelly_passages_1373.txt	annotator9.tsv
wohlriechende	Seyffe			wohlriechende							MEDICINE_BOTANY_019G 1699 Abel, Heinrich Kaspar_ Wohlerfahrner Leib-Medicus der Studenten. Leipzig.txtao_potentially_smelly_passages_1373.txt	annotator9.tsv
riechendes	Gas			erſtickend							HOUSEHOLD_RECIPES_068G 1896 Heinrich Samter Das Reich der Erfindngen. Berlin, 1896..txtbn_potentially_smelly_passages_1331.txt	annotator11.tsv
riechendes	Gas			erſtickend				Verbrennt man Schwefel			HOUSEHOLD_RECIPES_068G 1896 Heinrich Samter Das Reich der Erfindngen. Berlin, 1896..txtbn_potentially_smelly_passages_1331.txt	annotator9.tsv
Lufft				frembden	durchſchneidet vnd martert den Magen						TRAVEL_ETHNOGRAPHY_024G 1631 Johann Ludwig Gottfried Newe Welt Vnd Americanische Historien. Frankfurt (Main), 1631..txtab_potentially_smelly_passages_1278.txt	annotator9.tsv
Geruch	des Schiffs				durchſchneidet vnd martert den Magen						TRAVEL_ETHNOGRAPHY_024G 1631 Johann Ludwig Gottfried Newe Welt Vnd Americanische Historien. Frankfurt (Main), 1631..txtab_potentially_smelly_passages_1278.txt	annotator9.tsv
Lufft		Lufft		ſubtil | durchdringend	daß ſie biß zum Eingeweyd koͤmmet						TRAVEL_ETHNOGRAPHY_024G 1631 Johann Ludwig Gottfried Newe Welt Vnd Americanische Historien. Frankfurt (Main), 1631..txtab_potentially_smelly_passages_1278.txt	annotator9.tsv
Lufft		Lufft			jhm ſein Leben abkuͤrtzet						TRAVEL_ETHNOGRAPHY_024G 1631 Johann Ludwig Gottfried Newe Welt Vnd Americanische Historien. Frankfurt (Main), 1631..txtab_potentially_smelly_passages_1278.txt	annotator9.tsv
Lufft		Lufft	man	ſanffte	todt auff die Erden fallen | Bißweilen fallen einem die Finger von den Haͤn - den / vnd die Zeen von den Fuͤſſen						TRAVEL_ETHNOGRAPHY_024G 1631 Johann Ludwig Gottfried Newe Welt Vnd Americanische Historien. Frankfurt (Main), 1631..txtab_potentially_smelly_passages_1278.txt	annotator9.tsv
Duft	Blume		Ich	Duft		wie Tempelduft					LITERATURE_020G 1835 Arnim, Bettina von_ Goethe_s Briefwechsel mit einem Kinde. Bd. 1. Berlin, 1835.txtae_potentially_smelly_passages_178.txt	annotator9.tsv
Gerüchen			wir								SCIENCE_PHILOSOPHY_001E Zwaardemaker 1895 Die Physiologie des Geruchs.txtaa_potentially_smelly_passages_1833.txt	annotator9.tsv
riechen	Rettige | nach dem menſchlichen Miſt | Rettige			ſo ſtark	keiner in Europa davon eſſen wuͤrde						TRAVEL_ETHNOGRAPHY_052G 1777 Engelbert Kaempfer Geschichte und Beschreibung von Japan. Hrsg. v. Christian Wilhelm von Dohm. Bd. 1. Lemgo, 1777.txtaj_potentially_smelly_passages_1938.txt	annotator9.tsv
Geſtanks	nach dem menſchlichen Miſt	ſie		Geſtanks	keiner in Europa davon eſſen wuͤrde			womit ſie geduͤnget werden			TRAVEL_ETHNOGRAPHY_052G 1777 Engelbert Kaempfer Geschichte und Beschreibung von Japan. Hrsg. v. Christian Wilhelm von Dohm. Bd. 1. Lemgo, 1777.txtaj_potentially_smelly_passages_1938.txt	annotator9.tsv
riecht	ein Pomerantzen farbes Pulffer					Schweffel		alsdann die gefaͤrbte Lauge ab / und andere wieder daran gegoſſen / die gefaͤrbten Laugen filtrirt / und etwas Eſ - ſig drein getroͤpfflet	Boden		SCIENCE_PHILOSOPHY_035G 1672 Lazarus Ercker Aula subterranea. Frankfurt (Main), 1672..txtaq_potentially_smelly_passages_448.txt	annotator9.tsv
duftendes	Maſtir			duftendes				Mahle			TRAVEL_ETHNOGRAPHY_067G 1892 Karl May Durchs Wilde Kurdistan. Freiburg (Breisgau) 1892.txtaf_potentially_smelly_passages_2542.txt	annotator9.tsv
wohlriechenden	Poudre			wohlriechenden							MEDICINE_BOTANY_019G 1699 Abel, Heinrich Kaspar_ Wohlerfahrner Leib-Medicus der Studenten. Leipzig.txtao_potentially_smelly_passages_1377.txt	annotator9.tsv
wohlriechend	Blitz-Pulver			wohlriechend							MEDICINE_BOTANY_019G 1699 Abel, Heinrich Kaspar_ Wohlerfahrner Leib-Medicus der Studenten. Leipzig.txtao_potentially_smelly_passages_1377.txt	annotator9.tsv
aromatisch	Ge - tränke										MEDICINE_BOTANY_003G Johann Ferdinand Heyfelder 1832 Die Cholera in Frankreich.txtan_potentially_smelly_passages_2572.txt	annotator11.tsv
duftet	deine Rede			duftet		Roſen | Nelken					TRAVEL_ETHNOGRAPHY_067G 1892 Karl May Durchs Wilde Kurdistan. Freiburg (Breisgau) 1892.txtah_potentially_smelly_passages_1742.txt	annotator9.tsv
duftete	Thymian			ſo ſtark							LITERATURE_020G 1835 Arnim, Bettina von_ Goethe_s Briefwechsel mit einem Kinde. Bd. 1. Berlin, 1835.txtah_potentially_smelly_passages_723.txt	annotator11.tsv
duftete	Thymian			ſo ſtark | duftete							LITERATURE_020G 1835 Arnim, Bettina von_ Goethe_s Briefwechsel mit einem Kinde. Bd. 1. Berlin, 1835.txtah_potentially_smelly_passages_723.txt	annotator9.tsv
Leichengeruch	Leichengeruch			süßlicher				der erste Feuerüberfall hatte eine Menge von Zivilisten unter den Trümmern ihrer Wohnungen begraben	Aus vielen Ruinen		LITERATURE_004G Ernst Junger 1922 In Stahlgewittern.txtaa_potentially_smelly_passages_2564.txt	annotator9.tsv
Leichengeruch				süßlicher					Aus vielen Ruinen		LITERATURE_004G Ernst Junger 1922 In Stahlgewittern.txtaa_potentially_smelly_passages_2564.txt	ger.tsv
duftenden	Linde			duftenden							LITERATURE_020G 1835 Arnim, Bettina von_ Goethe_s Briefwechsel mit einem Kinde. Bd. 1. Berlin, 1835.txtag_potentially_smelly_passages_1891.txt	annotator9.tsv
Geruch			Jch	wuͤrzhaften		wie von einem einbalſamirten Leichnam					RELIGION_051G 1776 Emmanuel Swedenborg Auserlesene Schriften. Bd. 4. Frankfurt (Main), 1776.txtai_potentially_smelly_passages_2400.txt	annotator9.tsv
Todtengeruch			man	Todtengeruch	wann dieſen boͤſe Geiſier empfin - den , ſo koͤnnen ſie ſich nicht naͤhern	wie von Ge - wuͤrz		Dann wann himmliſche Engel zugegen ſind			RELIGION_051G 1776 Emmanuel Swedenborg Auserlesene Schriften. Bd. 4. Frankfurt (Main), 1776.txtai_potentially_smelly_passages_2400.txt	annotator9.tsv
geruchloſes	Fabrikat										HOUSEHOLD_RECIPES_068G 1896 Heinrich Samter Das Reich der Erfindngen. Berlin, 1896..txtay_potentially_smelly_passages_62.txt	annotator11.tsv
geruchloſes	Fabrikat			geruchloſes				Zuhilfenahme von Chemikalien			HOUSEHOLD_RECIPES_068G 1896 Heinrich Samter Das Reich der Erfindngen. Berlin, 1896..txtay_potentially_smelly_passages_62.txt	annotator9.tsv
Geruch	Stuhlgänge										MEDICINE_BOTANY_003G Johann Ferdinand Heyfelder 1832 Die Cholera in Frankreich.txtag_potentially_smelly_passages_53.txt	annotator11.tsv
