Book	Smell_Word	Smell_Source	Quality	Full_Sentence
abc1	dišave|zadišale			Maria je prečudna angelam ; zato so se per njenim vnebovzetji , ko so jim dišave njenih čednosti zadišale , močno čudili in rekli : .
abc1	dišav	mire|kadila		iz sveta ) kakor steber dima iz dišav o d mire in kadila , in mnogoterih št up disavarja ( Tis , pes .
abc2	duh|dišečo	Gnoj|gnojno moč		Gnoj je kakor vsa diseca rec ; ce ga 486 9 ne zapres , se ti izdiší ; zapřeš mu pa duh in dušo njegovo , če ga dobro potlačíš , — še bolj pa če ga z gipsom po - siplješ ; gips oklene dišečo gnojno moč , ktera nam polje rodovitno delà .
abc3	zelišča		spomladne	Se zbirajo cepiči ali mladike , za cepljenje sadnih dreves ; se oko - puje zemlja , kjer se imajo spomladne zelišča sejali .
abc3	dišeča|dišeče|zelišča	radrik ali regrat|motovilec|kislica|kresa|bažiljka|sladki janež ali koromač|rutica , žalbija , sivka ali lavendel , timijan|majoran|trave		— Sejejo se salale , kapere , luk , ber - zote , kapusi , relkvc in relkvice , buče , fežol , grah , korenje , pesa , radrik ali regrat , motovilec , kislica , kresa , bažiljka , sladki janež ali koromač , dišeča rutica , žalbija , sivka ali lavendel , timijan , majoran , in druge dišeče trave in zelišča .
abc3	dišeča	reseda , garofeljni ali nageljni|cvetlice		Proti koncu lega mesca , če je vreme za to , se sejejo : volčji bob ( lupino ) , špe - roneli , slak ( convolvulus ) , nebino iskrice ( astri ) , cinije , balzamine , bažiljko , adoni , vijolice , delfini , tageti , amaranti , akvilegije , lobelje , anterini , geranije , pelargoni , ipomeji , maki , tropeoli , verbene ali sporiš , dišeča reseda , garofeljni ali nageljni vsih sort , in druge letne cvetlice , in vse raslljine domače in pluje , to je , k » so prinesene iz ptujih dežel ; treba jih je pa imeti na gorkem do konca aprila .
abc3	dišeče	nageljni|pelargoni|fuksije|vanilje|trave		Vzamejo se vun iz rastljinjaka ( ali iz gorkega kraja , kjer so se hranili po zimi ) nageljni , pelargoni , fuksije , vanilje , dišeče trave in druge enake raslljine , ktere v naših krajih rasti za - inorejo , in pri tej priložnosti se jim zemlja premenja ; obrežejo se jazmini , in grebenčajo : iz posod se v - zamejo hijacinti , se počistijo in se presade .
abc3	dišeče	rožmarin|pelin|trave|meta|melisa|kislica|buraza|boraga		Se sadi lavendel , rutica , rožmarin , pelin , in sejejo se druge dišeče trave , kakor meta , melisa , kislica , buraza ali boraga , krebulica .
abc3	dišča	plevela		— Se plevela čistijo nove sa - dišča .
abc3	dišeče	artičoki|trave		Zreli artičoki se pobirajo , ravno tako dišeče trave , preden ocvetejo .
abc3	zelišča	trave		Se strižejo ali obrezujejo tudi la mesec še lope ali pergole , ploli , okrajniki leh , in se gleda , da se nepotrebne zelišča in trave po celem verlu populijo .
abc3	dišečih	poletnih cvetlic|trav		Se pobira in pospravlja seme od rumenih violic ali lcvkoj , kvaranlen , garofeljnov , in več drugih poletnih cvetlic , dišečih trav , plujih rastljin itd .
abc3	dišeče	gobe|trave		Se sušijo gobe in dišeče trave , kakor žalbija , bažiljka itd .
abc3	dišeče	trave		Se presadijo žmikeljni ( orecchi d ’ orso ) , zvončeki , matrikarije in druge dišeče trave , in se pobirajo zrele jesenske semena .
abc3	zelišče	Astramontana 1 ( inula hirta )		Astramontana 1 ( inula hirta ) je , skorej smem reči , čudodelno zelišče zoper gadov vpik , in zoper vpik vsake strupene živali , bodi si človek vpičen , ali pa živina .
abc3	zelišče		kuhano	— V sili , ako se nima gotovega izlečka , je tudi voda dobra , v kleri se astromoutana dolgo kuba ; ker pa ^ ni tako močna , kakor izleček , se vzame vsa - krat lahko po pol maselca , pa tudi več ali manj , kakor je namreč več ali manj močna ; ali zraven tega se mora tudi kuhano zelišče na oteklino staviti .
abc3	diščo	jabelk in hrušek		deželni svelovavec , in odbornik naše kmetijske družbe , ko je v letu 1830 v Bovcu pervi napravil sa - diščo jabelk in hrušek , in v letih 1833 do 1839 tudi murve tamkej sadil in svilorejo vpeljal .
abc3	dišavo		prijetno	Ravno ta zaslužni odbornik je v pretečenem letu podal Bovčanom hmelj , kteri se pri pripravljanji ola ( ali biro ) rabi in daje olu prijetno dišavo .
abc3	dišavo	cvelje	navadno	Izid je bil ta : da so sadike , brez druge posebne skerbi , prav čver - slo poganjale , in konec septembra mesca pervo zrelo cvelje dale , ktero je imelo svojo navadno dišavo ; in olar gosp .
abc3	dišavo	cvelje	navadno	Izid je bil ta : da so sadike , brez druge posebne skerbi , prav čver - slo poganjale , in konec septembra mesca pervo zrelo cvelje dale , ktero je imelo svojo navadno dišavo ; in olar gosp .
abc4	diši	cvetica|beli cvet polnega medu		Ne raste enako drugemu žitu v klase ali latje , ampak je cvetica z verh - mi ; ima beli cvet polnega medu ' , ki dalječ diši in ga čebele pridno iščejo in nabirajo .
abc5	dišečim	mazilom		ajnbahamirat , pomaziliti , z dišečim mazilom namazati .
abc5	dišeč		slasten|tečen|dobro	apetit , slast , tek , sla , volja do jedi ; apetitlih , slasten , tečen , dobro dišeč .
abc5	dišava|dobrodišeča	di - šavje|zel .		g vir v , ( Gewürze ) , dišava , di - šavje , dobrodišeča zel .
abc5	z dišavo			gvircat , začiniti z dišavo , štu - .
abc5	duha	tobakira|Tabaksdose )		tobakira , ( Tabaksdose ) , duha - nica .
abc6	duh		slabo	Prehudo si me prijel ; kaj ne veš , da je duh sicer voljan , pa meso je slabo .
abc6	puhtijo|dišave			) Pesnik poje : » Iz cvetic zelene trave Vzdiga k nebu se molitev , In ko Stvarniku daritev V zrak puhtijo vse dišave « .
abc6	puhtijo|dišave			Ali res — iz cvetic zelene trave vzdiga k nebu se molitev , in ali res — ko Stvarniku daritev v zrak puhtijo vse dišave ? T .
abc6	dišavami	cvetice		Le tedaj , ako pesnik z unimi besedami hoče reči , da cvetice s svojimi dišavami razodevajo veličast in ljubezen Božjo , in da so človeku v prid in razveseljevanje , le tedaj keršausko - katoliški veri niso nasprotne ; po besedni razlagi ali po sedanjem vse božaj o čem natoroznanstvu pa so .
abc7	dišeč	a vij|a ( Viola odorata )		Pozabiti ne smemo , da je dišeč a vij o l i c a ali 1 j u b i c a ( Viola odorata ) tudi napovedovalka pomladi .
abc7	duh		prij eten	Ce jo zagledamo v zimsko rjavej meji , vselej srno veseli , da že raste , ker njen prij eten duh se ' ne vjema z ostro burjo .
abc7	zelišča	mahovi		In kedar je padel 9 zadnji vojnik , če pod tem razumevamo bolj očitna zelišča , ostanejo še živi , mični pritlikovci mahovi , med kterimi so tudi taki , kterim drobni glavičasti plodovi dozorevaj o še le v trdej zimi .
abc7	dišave	Zamorski kum in|Nigella ' sativa	ostre	Zamorski kum in ( Nigella ' sativa ) , bolj kmetiški brat naše vrtne 6rnuhe ( Nigeiia damascena ) , daje nam v drobnem robatem semenu ostre dišave .
