id	year	author	title	link	subject	source
nn_bayerische179_1850.txt	1850		Die Bayerische Presse – Eine constitutionell-monarchische Zeitung. (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/nn_bayerische179_1850	Zeitung	Die Bayerische Presse. Nr. 179. Würzburg, 27. Juli 1850.
reimarus_blitze_1769.txt	1769	Reimarus, Johann Albert Heinrich	Die Ursache des Einschlagens vom Blitze, nebst dessen natürlichen Abwendung von unsern Gebäuden, aus zuverläßiger Erfahrung von Wetterschlägen vor Augen gelegt  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/reimarus_blitze_1769	Wissenschaft: Naturwissenschaft	Reimarus, Johann Albert Heinrich: Die Ursache des Einschlagens vom Blitze. Langensalza, 1769. [SUB Göttingen, SUB Göttingen, DD2001 A 340]
lange_niederlage_1907.txt	1907	Lange, Helene	Die parlamentarische Niederlage des Frauenstimmrechts in England  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/lange_niederlage_1907	Gebrauchsliteratur: Gesellschaft	Lange, Helene: Die parlamentarische Niederlage des Frauenstimmrechts in England. In: Die Frau 15 (1907), S. 420-423.
musaeus_grandison03_1762.txt	1762	Musäus, Johann Karl August	Grandison der Zweite, Oder Geschichte des Herrn v. N*** in Briefen entworfen  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/musaeus_grandison03_1762	Belletristik: Roman	Musäus, Johann Karl August: Grandison der Zweite, Oder Geschichte des Herrn v. N*** in Briefen entworfen. Dritter Theil. Eisenach, 1762.
nn_bayerische198_1850.txt	1850		Die Bayerische Presse – Eine constitutionell-monarchische Zeitung. (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/nn_bayerische198_1850	Zeitung	Die Bayerische Presse. Nr. 198. Würzburg, 19. August 1850.
schlegel_athenaeum_1800.txt	1800	Schlegel, August Wilhelm von	Athenaeum  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/schlegel_athenaeum_1800	Belletristik: Lyrik; Drama; Prosa	Schlegel, August Wilhelm von; Schlegel, Friedrich von (Hrsg.): Athenaeum. Bd. 3. Berlin, 1800. [Universitätsbibliothek Greifswald, UB Greifswald, 520/Bm 39(3)]
laband_staatsrecht01_1876.txt	1876	Laband, Paul	Das Staatsrecht des Deutschen Reiches  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/laband_staatsrecht01_1876	Wissenschaft: Jura	Laband, Paul: Das Staatsrecht des Deutschen Reiches. Bd. 1. Tübingen, 1876. [MPI f. europäische Rechtsgeschichte, Frankfurt MPIER, NB 6/6012 [1]]
523588.txt	1632	Schreck, Joachim	Trost vnnd Unterrichtungs Predigt/ Vber Einen sehr trawrigen vnd vnvermuthlichen Todesfall eines Adelichen Sechsjährigen Knäbeleins Günter von Retstorpffs  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/523588	Gebrauchsliteratur: Leichenpredigt	Schreck, Joachim: Trost vnnd Unterrichtungs Predigt. Lübeck, 1632. [Universitätsbibliothek Breslau , Universitätsbibliothek Breslau, 4 S 121/19 / 523588]
kant_aufklaerung_1784.txt	1784	Kant, Immanuel	Beantwortung der Frage: Was ist Aufklärung?  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/kant_aufklaerung_1784	Wissenschaft: Philosophie	Kant, Immanuel: Beantwortung der Frage: Was ist Aufklärung? In: Berlinische Monatsschrift, 1784, H. 12, S. 481-494. [Zentral- und Landesbibliothek Berlin, Berlin ZLB, B 1/96:1784,2]
heyse_weinhueter_1910.txt	1910	Heyse, Paul	Der Weinhüter von Meran  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/heyse_weinhueter_1910	Belletristik: Novelle	Heyse, Paul: Der Weinhüter von Meran. In: Deutscher Novellenschatz. Hrsg. von Paul Heyse und Hermann Kurz. Bd. 17. 2. Aufl. Berlin, [1910], S. 173–319. In: Weitin, Thomas (Hrsg.): Volldigitalisiertes Korpus. Der Deutsche Novellenschatz. Darmstadt/Konstanz, 2016.
