ec1	K125893.000
ec2	K125362.000
ec3	K050267.000
ec4	K023038.000
ec5	K082269.001
ec6	K079637.001
ec7	K039111.000
ec8	K040548.000
ec9	K022115.003
ec10	K007863.000
ec11	K005187.000
ec12	K008334.000
ec13	K041590.000
ec14	K088170.000
ec15	K013193.000
ec16	K059277.000
ec17	K109095.002
ec18	K099023.000
ec19	K003810.002
ec20	K006500.000
ec21	K021151.003
ec22	K059988.000
ec23	K107624.000
ec24	K012309.000
ec25	K104099.003
ec26	K038022.000
ec27	K069755.000
ec28	K023021.000
ec29	K063270.000
ec30	K021268.000
ec31	K088713.000
ec32	K012406.000
ec33	K059973.000
ec34	K035832.000
ec35	K100170.000
ec36	K062887.000
ec37	K029318.000
ec38	K049641.000
ec39	K111808.000
ec40	K008295.003
ec41	K050307.000
ec42	K022258.000
ec43	K041533.000
ec44	K103240.000
ec45	K042939.000
ec46	K108513.000
ec47	K112181.000
ec48	K015461.000
ec49	K050240.000
ec50	K100064.000
ec51	K014363.000
ec52	K059103.000
ec53	K006483.000
ec54	K130910.000
ec55	K097994.000
ec56	K023014.000
ec57	K048218.000
ec58	K135809.000
ec59	K107811.001
ec60	K080662.004
ec61	K040976.000
ec62	K090132.000
ec63	K057726.000
ec64	K029768.000
ec65	K029298.000
ec66	K062775.000
ec67	K043079.000
ec68	K027670.002
ec69	K119774.000
ec70	K133067.000
ec71	K114062.000
ec72	K073280.000
ec73	K014201.000
ec74	K023148.000
ec75	K020428.000
ec76	K093660.002
ec77	K045265.000
ec78	K113639.000
ec79	K071066.001
ec80	K036062.000
ec81	K067383.001
ec82	K134246.000
ec83	K041500.000
ec84	K105119.000
ec85	K002782.000
ec86	K094122.000
ec87	K005913.000
ec88	K041555.000
ec89	K021454.000
ec90	K048330.000
ec91	K053409.000
ec92	K106754.002
ec93	K024818.002
ec94	K049352.008
ec95	K007507.000
ec96	K039224.000
ec97	K056663.000
ec98	K035919.000
ec99	K059808.000
ec100	K108263.000
ec101	K023176.000
ec102	K012397.000
ec103	K059380.000
ec104	K109708.003
ec105	K003643.002
ec106	K036934.000
ec107	K070327.000
ec108	K043689.000
ec109	K002464.000
ec110	K036824.000
ec111	K060993.001
ec112	K077850.000
ec113	K067651.000
ec114	K031013.000
ec115	K074174.000
ec116	K030714.000
ec117	K118217.000
ec118	K043181.000
ec119	K022939.009
ec120	K063778.000
ec121	K078024.009
ec122	K000660.000
ec123	K108270.000
ec124	K115892.000
ec125	K048216.000
ec126	K112609.001
ec127	K047546.000
ec128	K005088.000
ec129	K003059.000
ec130	K051765.000
ec131	K092252.003
ec132	K001334.002
ec133	K109756.006
ec134	K112188.000
ec135	K040521.000
ec136	K030743.000
ec137	K023456.001
ec138	K046497.000
ec139	K064085.000
ec140	K119911.000
ec141	K085957.000
ec142	K050263.000
ec143	K003615.000
ec144	K104099.006
ec145	K001932.000
ec146	K044883.000
ec147	K046542.000
ec148	K066629.002
ec149	K084861.002
ec150	K048220.000
ec151	K113510.001
ec152	K071693.000
ec153	K050292.000
ec154	K059276.000
ec155	K082984.000
ec156	K100539.000
ec157	K035367.000
ec158	K020996.000
ec159	K007960.000
ec160	K092165.002
ec161	K086734.000
ec162	K128027.000
ec163	K023171.000
ec164	K016468.000
ec165	K005366.000
ec166	K085958.002
ec167	K109756.008
ec168	K035866.000
ec169	K032312.000
ec170	K085823.000
ec171	K062810.000
ec172	K124157.003
ec173	K035508.000
ec174	K046508.000
ec175	K037413.000
ec176	K023025.000
ec177	K029448.000
ec178	K056996.002
ec179	K044025.000
ec180	K095540.001
ec181	K113547.002
ec182	K118311.000
ec183	K097310.003
ec184	K047462.000
ec185	K126403.000
ec186	K069966.000
ec187	K069154.000
ec188	K080455.000
ec189	K023267.000
ec190	K037898.000
ec191	K104099.001
ec192	K096120.004
ec193	K023003.003
ec194	K033495.000
ec195	K125296.000
ec196	K036558.000
ec197	K027659.000
ec198	K053821.000
ec199	K074116.000
ec200	K060946.002
ec201	K023238.000
ec202	K092575.000
ec203	K073090.000
ec204	K037803.000
ec205	K049299.002
ec206	K032320.000
ec207	K019851.002
ec208	K056668.000
ec209	K004915.000
ec210	K108983.003
ec211	K039143.000
ec212	K042003.000
ec213	K086231.000
ec214	K029313.000
ec215	K050109.000
ec216	K078024.008
ec217	K021193.000
ec218	K038748.000
ec219	K049314.003
ec220	K092215.000
ec221	K046841.000
ec222	K069226.000
ec223	K091678.002
ec224	K031220.000
