K027077.000	2006	Gay, John, 1685-1732.	Three hours after marriage: A comedy, as it is acted at the Theatre Royal.
K057963.000	2006	Reed, Joseph, 1723-1787.	The retort courteous; or a candid appeal to the public on the conduct of Thomas Linley, Esq, manager of Drury-Lane Theatre, to the author of Dido. Containing original letters ... By the author of The register-office:
K035869.000	2006	Defoe, Daniel, 1661?-1731.	The shortest way to peace and union: by the author of The true born English-man.
K110407.002	2006	Burney, Fanny, 1752-1840.	Harcourt: a sentimental novel. In a series of letters. By the authoress of Evelina. ... [pt.2]
K100438.000	2006	Thomas, Rowley.	A familiar epistle to Roger Kenyon Esq: in memory of Sterne; to which are added the portraits of the Socinian and orthodox divine : by Rowley Thomas.
K110512.001	2006	Ashmole, Elias, 1617-1692.	The antiquities of Berkshire: By Elias Ashmole, Esq; With a large appendix ... and a particular account of the castle, college, and town of Windsor. In three volumes. [pt.1]
K029460.000	2006	Hill, Aaron, 1685-1750.	An account of the rise and progress of the beech-oil invention, ... as also, what is further design'd in that undertaking. By Aaron Hill Esq:
K024488.000	2006	Gerard, Alexander, 1728-1795.	Liberty the cloke of maliciousness, both in the American rebellion, and in the manners of the times. A sermon preached at Old Aberdeen, February 26. 1778, ... By Alexander Gerard,:
K052804.000	2006	Kames, Henry Home, Lord, 1696-1782.	Essays upon several subjects concerning British antiquities: ... With an appendix upon hereditary and indefeasible right. Composed anno M.DCC.XLV.
K050305.000	2006	Defoe, Daniel, 1661?-1731.	Imperial gratitude, drawn from a modest view of the conduct of the Emperor Ch...es VI. and the King of Spain Ch...es III. ... Being a farther view of the deficiencies of our confederates:
K050313.000	2006	Defoe, Daniel, 1661?-1731.	A letter to Mr. How, by way of reply to his considerations of the preface to An enquiry into the occasional conformity of dissenters. By the author of the said preface and Enquiry:
K103071.000	2006	Cumberland, Richard, 1732-1811.	The brothers: a comedy: As it is performed at the Theatre Royal in Covent-Garden.
K013438.000	2006	Defoe, Daniel, 1661?-1731.	Scotland in danger: or, a serious enquiry into the dangers which Scotland has been in, is now in, or may be in since the union: with some humble proposals for the remedy.
K054680.004	2006	Walpole, Horace, 1717-1797.	Anecdotes of painting in England: with some account of the principal artists; and incidental notes on other arts; collected by the late Mr. George Vertue; and now digested and published from his original MSS. by Mr. Horace Walpole. The second edition. ... [pt.4]
K109756.009	2006	Buffon, Georges Louis Leclerc, comte de, 1707-1788.	The natural history of birds: From the French of the Count de Buffon. Illustrated with engravings; and a preface, notes, and additions, by the translator. In nine volumes. ... [pt.9]
K033686.000	2006	Garrick, David, 1717-1779.	The jubilee concert: or, the Warwickshire lad. Being, a collection of songs performed at the jubilee, in honour of Shakespear, at Stratford upon Avon, and at the Theatre Royal, Drury-Lane.
K036094.000	2006	Dennis, John, 1657-1734.	An essay on the navy: or England's advantage and safety, prov'd dependant on a formidable and well-disciplined navy; ... In two parts. ... By the author of the Seamen's case.
K033168.000	2006	Colman, George, 1732-1794.	The manager in distress: A prelude on opening the Theatre-Royal in the Hay-Market, May 30, 1780. By George Colman.
K050503.000	2006	Chetwood, W. R. (William Rufus), d. 1766.	The lover's opera: As it is performed at the Theatre-Royal, by His Majesty's servants. By Mr. Chetwood, prompter to the Theatre.
K023426.000	2006	Waldron, F. G. (Francis Godolphin), 1744-1818.	Free reflections on miscellaneous papers and legal instruments, under the hand and seal of William Shakspeare, in the possession of Samuel Ireland, of Norfolk-Street. To which are added, extracts from an unpublished MS. play, called The virgin queen.:
K074334.000	2006	Williams, Helen Maria, 1762-1827.	Letters written in France: in the Summer 1790, to a friend in England; containing, various anecdotes relative to the French revolution; and memoirs of Mons. and Madame du F----. By Helen Maria Williams.
K034294.000	2006	Cobb, James, 1756-1818.	The Cherokee: an opera, as performed at the Theatre-Royal, Drury-Lane. By the author of The haunted tower.
K064570.000	2006	Woolston, Thomas, 1670-1733.	A second discourse on the miracles of our Saviour: in view of the present controversy between infidels and apostates. By Thomas Woolston, ...
K068486.002	2006	Blackwell, Elizabeth, fl. 1737.	A curious herbal: containing five hundred cuts, of the most useful plants, which are now used in the practice of physick. Engraved on folio copper plates, after drawings taken from the life. By Elizabeth Blackwell. To which is added a short description of ye plants; and their common uses in phsick. ... [pt.2]
K029323.000	2006	Foote, Samuel, 1720-1777.	The Englishman return'd from Paris: being the sequel to The Englishman in Paris. A farce in two acts. As it is perform'd at the Theatre-Royal in Covent-Garden. By Samuel Foote, Esq;.
K049484.000	2006	Rowe, Nicholas, 1674-1718.	The biter: A comedy. As it is acted at the Theatre in Lincolns-Inn-Fields, by Her Majesty's sworn servants. Written by N. Rowe, Esq;.
K099018.000	2006	Amhurst, N. (Nicholas), 1697-1742.	Congratulatory verses to Edward Biddle: gent. occasion'd by his Poem on the birth of the young prince. With some remarks ... By the old three.
K049299.002	2006	Smollett, Tobias George, 1721-1771.	Continuation of the Complete history of England: By T. Smollett, M.D. ... [pt.2]
K037155.000	2006	Colman, George, 1732-1794.	A fairy tale: In two acts. Taken from Shakespeare. As it is performed at the Theatre-Royal in Drury-Lane.
