Smell_Word	Smell_Source	Odour_Carrier	Perceiver	Quality	Effect	Evoked_Odorant	Creator	Circumstances	Location	Time	Title	Annotator
odeur	cette drogue		nous	Aromatique | souëue | parfumer					Tabago | Barboude | Antilles		108 Antilles.txt	annotator14.tsv
parfumée	Crocodiles | chair			parfumée							108 Antilles.txt	annotator14.tsv
odeur	sa		Panteres	bonne					ce lieu-là		108 Antilles.txt	annotator14.tsv
Oiseaus	sa | odeur		Oiseaus						fort loin		108 Antilles.txt	annotator14.tsv
odeur				mauvaise	attire ces Oiseaus						108 Antilles.txt	annotator14.tsv
parfum	sa			precieus | admirable							108 Antilles.txt	annotator14.tsv
sent	sa			tres-mauvais	les animaus y courent en même fasson , qu'ils vont aus charognes			lors qu'il est encore frais , & mol	mer		108 Antilles.txt	annotator14.tsv
odeur	sa				l'on a été si long-tems à le connoitre , & à s'en servir .	lard corrompu					108 Antilles.txt	annotator14.tsv
odeur			Anciens	mauvaise	capable de faire mal au cœur						108 Antilles.txt	annotator14.tsv
odeur	d'Ambre			bonne							108 Antilles.txt	annotator14.tsv
parfums	d'Ambre										108 Antilles.txt	annotator14.tsv
l'odorat											101F Cloquet 1821 Osphresiologie.txt	annotator14.tsv
parfumer											101F Cloquet 1821 Osphresiologie.txt	annotator14.tsv
odeurs											101F Cloquet 1821 Osphresiologie.txt	annotator14.tsv
l'odeur	sein	leur									101F Cloquet 1821 Osphresiologie.txt	annotator14.tsv
parfumant	sein	zéphyr									101F Cloquet 1821 Osphresiologie.txt	annotator14.tsv
odorans	ombrages | jardins										101F Cloquet 1821 Osphresiologie.txt	annotator14.tsv
parfums			poètes			douce ivresse					101F Cloquet 1821 Osphresiologie.txt	annotator14.tsv
parfums	fleurs										101F Cloquet 1821 Osphresiologie.txt	annotator14.tsv
L'odorat		l'air									101F Cloquet 1821 Osphresiologie.txt	annotator14.tsv
parfumée		atmosphère	Mahon							siècle de Louis XV	101F Cloquet 1821 Osphresiologie.txt	annotator14.tsv
odeurs	civette		leur | rossignols	suaves	faire chanter les rossignols en cage | stimulent les oiseaux à chanter | augmentant leur flamme amoureuse						101F Cloquet 1821 Osphresiologie.txt	annotator14.tsv
exhaler			odeur								101F Cloquet 1821 Osphresiologie.txt	annotator14.tsv
odeur	organes sexuels de la plupart des animaux | musc | civette | castoreum | chevrotins | muscardins | putois | zorilles | bœufs musqués | on - datras | buffles | boucs | moufettes			forte | spéciale							101F Cloquet 1821 Osphresiologie.txt	annotator14.tsv
odeur	son			modérée		l'Ail					097F Charas 1668 Histoire naturelle des animaux.txt	annotator14.tsv
parfum	haleine					son				enfance	0021F Anonymous 1794 Courier du Pas-de-Calais.txt	annotator14.tsv
exhale	son										0021F Anonymous 1794 Courier du Pas-de-Calais.txt	annotator14.tsv
odeur		airs | exhale									0021F Anonymous 1794 Courier du Pas-de-Calais.txt	annotator14.tsv
exhale				tendre		parfum de la rose					0021F Anonymous 1794 Courier du Pas-de-Calais.txt	annotator18.tsv
odeur	haleine	airs									0021F Anonymous 1794 Courier du Pas-de-Calais.txt	annotator18.tsv
l'pdeur	Ces matières			toute particulière | tout-à-fait différente		tourbe			sous le hangard		028F Tessier 1772 Institut national des sciences et arts.txt	annotator14.tsv
odeur	matière fécale										028F Tessier 1772 Institut national des sciences et arts.txt	annotator14.tsv
odeur	son			forte | sen - sable							028F Tessier 1772 Institut national des sciences et arts.txt	annotator14.tsv
odeur	matière fécaié			aucune | sen - sable				ainsi préparée			028F Tessier 1772 Institut national des sciences et arts.txt	annotator14.tsv
L'odeur	partie des matières	l'amas entier							à Montfaucon		028F Tessier 1772 Institut national des sciences et arts.txt	annotator14.tsv
l'odeur	tourbe					cuir brûlé					028F Tessier 1772 Institut national des sciences et arts.txt	annotator14.tsv
exhale											028F Tessier 1772 Institut national des sciences et arts.txt	annotator18.tsv
odeur	Ces matières			particulière		celle de la matière fécale					028F Tessier 1772 Institut national des sciences et arts.txt	annotator18.tsv
exhale											028F Tessier 1772 Institut national des sciences et arts.txt	annotator18.tsv
odeur	une vapeur grasse			plus forte | plus sen - sable		la même . que celle de la matière dont on n'a pas renouvellé la surface					028F Tessier 1772 Institut national des sciences et arts.txt	annotator18.tsv
odeur	La matière fécaié					la terre sécliée et réduite en poudre					028F Tessier 1772 Institut national des sciences et arts.txt	annotator18.tsv
L'odeur	l'amas					l'odeur de la tourbe qui dominoit | du tan ^ ou du cuir brûlé			Paris		028F Tessier 1772 Institut national des sciences et arts.txt	annotator18.tsv
odoriférantes	plantes								jardin des fleurs		086F Barthelemy_Voyage.txt	annotator14.tsv
odoriférantes	plantes										086F Barthelemy_Voyage.txt	annotator18.tsv
odeurs											105F Les Principes de Nature.txt	annotator14.tsv
odeurs	les elemens										105F Les Principes de Nature.txt	annotator14.tsv
odeurs	qu'aucun element pur & simple		Peripateticièns								105F Les Principes de Nature.txt	annotator14.tsv
odeurs	souffre | huile		Chymistes vulgaires								105F Les Principes de Nature.txt	annotator14.tsv
l'odorat											105F Les Principes de Nature.txt	annotator14.tsv
odeurs			celuy	diuerses | plusieurs | l'agréable | des-agreable | douce | l'ingrate | fascheuse							105F Les Principes de Nature.txt	annotator14.tsv
l'odorat											105F Les Principes de Nature.txt	annotator14.tsv
l'odorat											105F Les Principes de Nature.txt	annotator14.tsv
l'odorat			animaux		recognoissent mieux les differences						105F Les Principes de Nature.txt	annotator14.tsv
odorat	chemin		chiens								105F Les Principes de Nature.txt	annotator14.tsv
agréables				agréables | bonnes | des							105F Les Principes de Nature.txt	annotator14.tsv
des				désagréables | mauuaises | desagreables | puantes | qu'elles	les fuit d'abord						105F Les Principes de Nature.txt	annotator14.tsv
l'odorat											105F Les Principes de Nature.txt	annotator14.tsv
