Book	Smell_Word	Smell_Source	Quality	Sentence
gallica1	émanation	carbure		Dans la péninsule d ' Apchéron , près de la Caspienne , il suffit de creuser légèrement le sol a \ ec le doigt pour déterminer une émanation de carbure inflammable au contact d ' un charbon ou d ' une allumette ; toute la cuisine indigène se fait il ce feu ; des sources jaillissent même au milieu de la mer .
gallica1	parfum	fleurs		Les fleurs y ont , en général , moins de parfum que les nôtres , mais plus d ' éclat , de délicatesse , de variété de nuances .
gallica1	exhalations	volcans	sulfureuses	Seules quelques cimes de volcans , sans doute par suite des exhalations sulfureuses qu ' elles dégagent , se dressent chauves et nues au - dessus de la forêt .
gallica1	exhalations	volcans	sulfureuses	Seules quelques cimes de volcans , sans doute par suite des exhalations sulfureuses qu ' elles dégagent , se dressent chauves et nues au - dessus de la forêt .
gallica3	puantes	vapeurs		qu ' elle receut le second ac - croisTemcnt ( que i ' ay veu & admiré ) aprés que ces feux sous - terrains eurent infc & é l ' air de vapeurs puantes , & cou - uert toute la mer iusques aux Chasteaux de Constantinoplc , Lcsbos & Abidos de pierres - ponces .
gallica3	puant		hideux	C ' est pourquoy ils le coniurent à force d ' exorcismes de quitter ce corps , & ne cessent de le faire iusques à ce que le démon se soit retiré , & qu ' en se retirant ce corps vienne à se djsToudre , à perdre peu à peu sa couleur & ( on embonpoint , & à demeurer pesant , puant & hideux .
gallica3	puante	ordure insupportable		11 auoit mal au pied , qu ' aucun Chirurgien de Constantino - pIe n ' auoitvoulu entreprendre : l ' ongle * du gros doigt du pied estoit creu à la grosseur d ' vne noi ( ettc , & dessous cét ongle 3 il s ' estoit formé vne apostume , qui icttoit de l ' ordure insupportable - ment puante .
gallica3	odeurs	rose		CE qu ' en : la rose entre les fleurs , le baume parmy les liqueurs , le rou £ que parmy les odeurs , l ' or entre les Ine .
gallica3	exhalaisbn	gouffre		Car le troisiéme iour comme cet homme accourut pour secourir son bestail qui se mouroit , il reccut de ce gouffre de feu vnc telle exhalaisbn , qu ' il tomba par terre , & vomit auec le souphre sa malheureuse ame .
gallica3	puante	bouche		Tres - digne punition d ' vn blasphemateur , de qui la bouche est si puante .
