id	title	year	sameAs	author	license	publisher	type	archive	link
bpt6k9740448t.txt	Arrêt du conseil d'état qui déboute le fermier de sa demande à fin d'établissement des droits de petit scel dans les amirautés	1754	https://data.bnf.fr/ark:/12148/bpt6k9740448t	France. Conseil d'Etat (13..-1791)	Public domain	impr. de A. Boude (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k9740448t
bpt6k5468872b.txt	[Lettre de M. G. Macé, commissaire de police, chef du Service de Sûreté, à M. Engelhard, avocat à la Cour, au sujet de l'extradition d'Hartmann]	1880	https://data.bnf.fr/ark:/12148/bpt6k5468872b	Macé, Gustave (1835-1904)	Public domain	[s.n.][s.n.]	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5468872b
bpt6k6515209n.txt	Beautés des victoires et conquêtes des Français, depuis 1792 jusqu'en 1815 : récit des campagnes de la Révolution et de l'Empire, beaux faits d'armes et de dévouement des soldats français. Tome 2 / par E. de La Bédollière	1847	https://data.bnf.fr/ark:/12148/bpt6k6515209n	La Bédollière, Émile de (1812-1883)	Public domain	M. Ardant (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k6515209n
bpt6k6113305r.txt	"Observations sur le ""Mémoire"" de M. le général Donnadieu / par M. A. Choppin d'Arnouville,..."	1820	https://data.bnf.fr/ark:/12148/bpt6k6113305r	Choppin d'Arnouville, Augustin (1776-1857)	Public domain	Delaunay (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k6113305r
bpt6k12439172.txt	Catalogue d'une collection de vitraux anciens, armes des XVIe et XVIIe siècles, objets de vitrine... / [expert] Charles Mannheim	1883	https://data.bnf.fr/ark:/12148/bpt6k12439172		Public domain	[s.n.]	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k12439172
bpt6k58187070.txt	Les espagnols au Maroc / Germond de Lavigne	1889	https://data.bnf.fr/ark:/12148/bpt6k58187070	Germond de Lavigne, Alfred (1812-1891)	Public domain	C. Bayle (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k58187070
bpt6k5614884d.txt	Société des progrès agricoles. Nécrologie. Le duc de Doudeauville . (Signé : D. de La Chauvinière.)	1841	https://data.bnf.fr/ark:/12148/bpt6k5614884d	La Chauvinière, D. de	Public domain	impr. de J.-B. Gros ((Paris,))	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5614884d
bpt6k5499247b.txt	Foi et patrie, ou La France chrétienne se révélant au sein de ses désastres dans les actes sublimes de son clergé... Par Fr. de Valserres	1873	https://data.bnf.fr/ark:/12148/bpt6k5499247b		Public domain	Barbou frères (Limoges)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5499247b
bpt6k5821569h.txt	L'avant-dernier jour d'un condamné : comédie-vaudeville en un acte / P.-E. Goguillot	1890	https://data.bnf.fr/ark:/12148/bpt6k5821569h	Goguillot, Paul-Émile (1862-1929)	Public domain	impr. de Douladoure-Privat (Toulouse)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5821569h
bpt6k6127165v.txt	Pensée des braves sur les hauts faits de Napoléon . (Signé : LM. LC.)	1821	https://data.bnf.fr/ark:/12148/bpt6k6127165v		Public domain	chez les marchands de nouveautés (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k6127165v
bpt6k61246113.txt	La procédure dans les arbitrages internationaux / par Albert Acremant,...	1905	https://data.bnf.fr/ark:/12148/bpt6k61246113	Acremant, Albert (1882-1942)	Public domain	impr. de Sueur-Charruey (Arras)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k61246113
bpt6k6265655x.txt	Fête funèbre, pour honorer la mémoire du général Joubert . Programme	1799	https://data.bnf.fr/ark:/12148/bpt6k6265655x	France. Ministère de l'intérieur (1791-1830)	Public domain	Impr. de la république (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k6265655x
bpt6k6518942m.txt	Gratuité du passage sur la Garonne à Bordeaux. [Signé : E. Théron, fils aîné.]	1858	https://data.bnf.fr/ark:/12148/bpt6k6518942m	Théron, E.	Public domain	Ragot (Bordeaux)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k6518942m
bpt6k5682374m.txt	Petit-Pierre, ou le Bon cultivateur, par Ch. Calemard de La Fayette	1859	https://data.bnf.fr/ark:/12148/bpt6k5682374m	Calemard de La Fayette, Charles (1815-1901)	Public domain	Hachette (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5682374m
