ge1	1878__52__Jules Verne__Dick Sand_distribution_gutenberg.txt
ge2	1878__42__Various__The Atlantic Monthly, Volume 4, No. 23, September, 1859_distribution_gutenberg.txt
ge3	1889__31__James Runciman__A Dream of the North Sea_distribution_gutenberg.txt
ge4	1854__1__Various__Notes and Queries, Number 230, March 25, 1854_distribution_gutenberg.txt
ge5	1890__0__Westel W. Willoughby and William F. Willoughby__Government and Administration of the United States_distribution_gutenberg.txt
ge6	1833__5__S. Elizabeth Hall__A Loose End and Other Stories_distribution_gutenberg.txt
ge7	1911__28__Basil King__The Street Called Straight_distribution_gutenberg.txt
ge8	1895__0__Various__The Great Round World and What Is Going On In It, Vol. 1, No. 31, June 10, 1897_distribution_gutenberg.txt
ge9	1914__10__Mary Finley Leonard__The Little Red Chimney_distribution_gutenberg.txt
ge10	1725__8__Various__Punch, or the London Charivari, Vol. 159, December 22, 1920_distribution_gutenberg.txt
ge11	1885__17__F. Marion Crawford__The Children of the King_distribution_gutenberg.txt
ge12	1902__12__Ernest Crosby__Captain Jinks, Hero_distribution_gutenberg.txt
ge13	1920__70__Arthur W. Knapp__Cocoa and Chocolate_distribution_gutenberg.txt
ge14	1796__16__Various__McClure's Magazine, January, 1896, Vol. VI. No. 2_distribution_gutenberg.txt
ge15	1889__31__William E. Doubleday__Heiress of Haddon_distribution_gutenberg.txt
ge16	1890__4__Stephen Phillips, Laurence Binyon, Manmohan Ghose and Arthur Shearly Cripps__Primavera_distribution_gutenberg.txt
ge17	1901__25__Slason Thompson__Eugene Field, A Study In Heredity And Contradictions_distribution_gutenberg.txt
ge18	1840__6__T.W.E. Holdsworth__Campaign of the Indus_distribution_gutenberg.txt
ge19	1866__16__Various__The Argosy_distribution_gutenberg.txt
ge20	1913__46__Thomas Dixon__The Southerner_distribution_gutenberg.txt
ge21	1920__15__Graham Wallas__Human Nature In Politics_distribution_gutenberg.txt
ge22	1921__25__Zitkala-Sa__American Indian stories_distribution_gutenberg.txt
ge23	1857__30__Charles Kingsley__Two Years Ago, Volume II._distribution_gutenberg.txt
ge24	1878__43__Jean Meslier__Superstition In All Ages (1732)_distribution_gutenberg.txt
ge25	1851__22__W. Harrison Ainsworth__The Star-Chamber, Volume 2_distribution_gutenberg.txt
ge26	1904__4__Galen Clark__Indians of the Yosemite Valley and Vicinity_distribution_gutenberg.txt
ge27	1890__7__Countess Evelyn Martinengo-Cesaresco__Cavour_distribution_gutenberg.txt
ge28	1920__36__Jane Abbott__Red-Robin_distribution_gutenberg.txt
ge29	1915__17__George Frisbie Whicher__The Life and Romances of Mrs. Eliza Haywood_distribution_gutenberg.txt
ge30	1888__14__W. A. Clouston__The Book of Noodles_distribution_gutenberg.txt
ge31	1916__6__Walter W. Bryant__Kepler_distribution_gutenberg.txt
ge32	1891__5__Various__Punch, Or The London Charivari, Vol. 101, July 18, 1891_distribution_gutenberg.txt
ge33	1884__30__Various__Wine, Women, and Song_distribution_gutenberg.txt
ge34	1850__1__Various__Notes & Queries, No. 36. Saturday, July 6, 1850_distribution_gutenberg.txt
ge35	1823__9__Various__The Mirror of Literature, Amusement, and Instruction, No. 358_distribution_gutenberg.txt
ge36	1876__2__Various__Punch, or the London Charivari, Vol. 102, June 18, 1892_distribution_gutenberg.txt
ge37	1851__19__W. Harrison Ainsworth__The Star-Chamber, Volume 1_distribution_gutenberg.txt
ge38	1900__25__H. G. Wells__Love and Mr. Lewisham_distribution_gutenberg.txt
ge39	1922__37__Lytton Strachey__Books and Characters_distribution_gutenberg.txt
ge40	1866__3__Sophie May__Little Prudy's Sister Susy_distribution_gutenberg.txt
ge41	1890__24__Thomas De Quincey__The Collected Writing of Thomas De Quincey, Vol. II_distribution_gutenberg.txt
ge42	1876__1__Various__Punch, or the London Charivari, Vol. 108, June 15th, 1895_distribution_gutenberg.txt
ge43	1916__11__Maharanee Sunity Devee__Bengal Dacoits and Tigers_distribution_gutenberg.txt
ge44	1919__8__Various__More Translations from the Chinese_distribution_gutenberg.txt
ge45	1859__7__Thomas Cochrane, Tenth Earl of Dundonald__Narrative of Services in the Liberation of Chili, Peru and Brazil,_distribution_gutenberg.txt
ge46	1890__20__Thomas Adolphus Trollope__What I Remember, Volume 2_distribution_gutenberg.txt
ge47	1863__40__David Livingstone__The Last Journals of David Livingstone, in Central Africa, from 1865 to His Death, Volume II (of  2), 1869-1873_distribution_gutenberg.txt
ge48	1883__33__Editor: A.H. Bullen__A Collection Of Old English Plays, Vol. IV._distribution_gutenberg.txt
ge49	1915__65__A. J. Dawson__Jan_distribution_gutenberg.txt
ge50	1907__5__Margaret A. McIntyre__The Cave Boy of the Age of Stone_distribution_gutenberg.txt
ge51	1871__29__Various__Atlantic Monthly, Volume 8, Issue 45, July, 1861_distribution_gutenberg.txt
ge52	1856__20__Walter R. Cassels__Poems_distribution_gutenberg.txt
ge53	1917__2__Lacy Collison-Morley__Greek and Roman Ghost Stories_distribution_gutenberg.txt
ge54	1876__8__Various__Punch, or the London Charivari, Vol. 156, Feb. 26, 1919_distribution_gutenberg.txt
ge55	1827__13__Harriet Vaughan Cheney__The Rivals of Acadia_distribution_gutenberg.txt
ge56	1869__54__Mary Jane Holmes__Ethelyn's Mistake_distribution_gutenberg.txt
ge57	1915__8__Joseph McCabe__The War and the Churches_distribution_gutenberg.txt
ge58	1886__15__John Lord__Beacon Lights of History, Volume VII_distribution_gutenberg.txt
ge59	1920__10__Melvin Moses Knight, Iva Lowther Peters, and Phyllis Mary Blanchard__Taboo and Genetics_distribution_gutenberg.txt
ge60	1876__5__Various__Punch, or the London Charivari, Vol. 159, July 7th, 1920_distribution_gutenberg.txt
ge61	1921__80__Various__The Best Short Stories of 1921 and the Yearbook of the American Short Story_distribution_gutenberg.txt
ge62	1872__50__Frank Richard Stockton__Round-about Rambles in Lands of Fact and Fancy_distribution_gutenberg.txt
ge63	1892__33__John Miller__The Workingman's Paradise_distribution_gutenberg.txt
ge64	1871__27__James D. McCabe, Jr.__Great Fortunes, and How They Were Made_distribution_gutenberg.txt
ge65	1900__9__Richard Le Gallienne__The Worshipper of the Image_distribution_gutenberg.txt
ge66	1605__28__H.E. Blair__The Philippine Islands, 1493-1898: Volume XVI, 1609_distribution_gutenberg.txt
ge67	1916__5__Various__Punch, Volume 153, July 11, 1917_distribution_gutenberg.txt
ge68	1899__61__Dutton Payne__Mistress Penwick_distribution_gutenberg.txt
ge69	1915__30__Frederick Palmer__My Year of the War_distribution_gutenberg.txt
ge70	1897__2__Various__The Great Round World And What Is Going On In It, Vol. 1, No. 22, April 8, 1897_distribution_gutenberg.txt
ge71	1896__5__James D. Richardson__A Compilation of the Messages and Papers of the Presidents_distribution_gutenberg.txt
ge72	1918__10__Claude Fayette Bragdon__Architecture and Democracy_distribution_gutenberg.txt
ge73	1920__18__Henry Kitchell Webster__Mary Wollaston_distribution_gutenberg.txt
ge74	1915__17__Vachel Lindsay__The Art Of The Moving Picture_distribution_gutenberg.txt
ge75	1884__5__Various__Scientific American Supplement, No. 586, March 26, 1887_distribution_gutenberg.txt
ge76	1856__7__Hendrik Conscience__The Poor Gentleman_distribution_gutenberg.txt
ge77	1910__37__Rose Macaulay__The Lee Shore_distribution_gutenberg.txt
ge78	1615__2__Samuel Ward__A Coal From The Altar, To Kindle The Holy Fire of Zeale_distribution_gutenberg.txt
ge79	1873__22__Various__The Aldine, Vol. 5, No. 1., January, 1872_distribution_gutenberg.txt
ge80	1894__9__Jonas Lie__The Visionary_distribution_gutenberg.txt
ge81	1878__35__Benito Pérez Galdós__Doña Perfecta_distribution_gutenberg.txt
ge82	1920__29__Thomas Hope Floyd__At Ypres with Best-Dunkley_distribution_gutenberg.txt
ge83	1920__35__James C. Welsh__The Underworld_distribution_gutenberg.txt
ge84	1916__10__Katherine M. H. Blackford and Arthur Newcomb__Analyzing Character_distribution_gutenberg.txt
ge85	1868__5__Henry C. Carey__Letters on International Copyright; Second Edition_distribution_gutenberg.txt
ge86	1896__12__Maria Mitchell__Maria Mitchell: Life, Letters, and Journals_distribution_gutenberg.txt
ge87	1878__30__Michael Angelo Buonarroti & Tommaso Campanella__Sonnets_distribution_gutenberg.txt
ge88	1836__48__William A. Alcott__The Young Mother_distribution_gutenberg.txt
ge89	1883__0__Various__The Great Round World and What Is Going On In It, Vol. 1, No. 44, September 9, 1897_distribution_gutenberg.txt
ge90	1877__38__Ouida__Bebee_distribution_gutenberg.txt
ge91	1769__17__Daniel Defoe__The Life and Most Surprising Adventures of Robinson Crusoe, of_distribution_gutenberg.txt
ge92	1891__15__Samuel Smiles__A Publisher and His Friends_distribution_gutenberg.txt
ge93	1915__20__C. N. Williamson and A. M. Williamson__Secret History Revealed By Lady Peggy O'Malley_distribution_gutenberg.txt
ge94	1862__28__Various__Continental Monthly, Vol. I, No. V, May, 1862_distribution_gutenberg.txt
ge95	1916__2__Mabel Cook Cole__Philippine Folk Tales_distribution_gutenberg.txt
ge96	1899__23__Anne Reeve Aldrich__A Village Ophelia and Other Stories_distribution_gutenberg.txt
ge97	1838__20__James Fenimore Cooper__Home as Found_distribution_gutenberg.txt
ge98	1873__8__R. F. Dearborn__Saratoga and How to See It_distribution_gutenberg.txt
ge99	1837__33__Benjamin Disraeli__Venetia_distribution_gutenberg.txt
ge100	1908__34__Bertrand W. Sinclair__Raw Gold_distribution_gutenberg.txt
ge101	1876__25__Various__Lippincott's Magazine of Popular Literature and Science,  April, 1876._distribution_gutenberg.txt
ge102	1921__7__Donald Maxwell__A Dweller in Mesopotamia_distribution_gutenberg.txt
ge103	1880__59__Richard Jefferies__Hodge and His Masters_distribution_gutenberg.txt
ge104	1840__0__Edward Feild__Extracts from a Journal of a Voyage of Visitation in the "Hawk," 1859_distribution_gutenberg.txt
ge105	1904__7__Nicholas Carter__With Links of Steel_distribution_gutenberg.txt
ge106	1859__33__Various__Atlantic Monthly, Vol. 3, No. 18, April, 1859_distribution_gutenberg.txt
ge107	1915__16__Annie Heloise Abel__The American Indian as Participant in the Civil War_distribution_gutenberg.txt
ge108	1918__7__Gertrude Atherton__The White Morning_distribution_gutenberg.txt
ge109	1906__20__Mrs. Humphry Ward__Fenwick's Career_distribution_gutenberg.txt
ge110	1854__45__Sue Petigru Bowen__The Actress in High Life_distribution_gutenberg.txt
ge111	1917__7__Martin Brown Ruud__An Essay Toward a History of Shakespeare in Norway_distribution_gutenberg.txt
ge112	1922__38__Edwin Bjorkman__The Soul of a Child_distribution_gutenberg.txt
ge113	1866__2__William Holmes McGuffey__McGuffey's First Eclectic Reader, Revised Edition_distribution_gutenberg.txt
ge114	1906__44__Walter W. Greg__Pastoral Poetry and Pastoral Drama_distribution_gutenberg.txt
ge115	1877__10__John Richard Green__History of the English People, Volume I (of 8)_distribution_gutenberg.txt
ge116	1909__25__Various__Atlantic Monthly, Vol. 7, No. 44, June, 1861_distribution_gutenberg.txt
ge117	1832__0__Various__The Mirror of Literature, Amusement, and Instruction, No. 578_distribution_gutenberg.txt
ge118	1823__5__Various__Essays in Liberalism_distribution_gutenberg.txt
ge119	1920__10__A. Clutton-Brock__Essays on Art_distribution_gutenberg.txt
ge120	1876__4__Francis Burnand__Punch, Volume 101, September 19, 1891_distribution_gutenberg.txt
ge121	1909__14__Miss Parloa__Chocolate and Cocoa Recipes and Home Made Candy Recipes_distribution_gutenberg.txt
ge122	1916__31__Anton Chekhov__The Bishop and Other Stories_distribution_gutenberg.txt
ge123	1912__2__Various__Obed Hussey_distribution_gutenberg.txt
ge124	1918__21__Mrs. Humphrey Ward__Elizabeth's Campaign_distribution_gutenberg.txt
ge125	1738__0__Anonymous__The Twelve Tables_distribution_gutenberg.txt
