id	year	author	title	tags	link
1878__52__Jules Verne__Dick Sand_distribution_gutenberg.txt	1878	Jules Verne	Dick Sand		https://www.gutenberg.org/ebooks/12051
1878__42__Various__The Atlantic Monthly, Volume 4, No. 23, September, 1859_distribution_gutenberg.txt	1878	Various	The Atlantic Monthly, Volume 4, No. 23, September, 1859		https://www.gutenberg.org/ebooks/16430
1889__31__James Runciman__A Dream of the North Sea_distribution_gutenberg.txt	1889	James Runciman	A Dream of the North Sea		https://www.gutenberg.org/ebooks/
1854__1__Various__Notes and Queries, Number 230, March 25, 1854_distribution_gutenberg.txt	1854	Various	Notes and Queries, Number 230, March 25, 1854		https://www.gutenberg.org/ebooks/42006
1890__0__Westel W. Willoughby and William F. Willoughby__Government and Administration of the United States_distribution_gutenberg.txt	1890	Westel W. Willoughby and William F. Willoughby	Government and Administration of the United States		https://www.gutenberg.org/ebooks/12136
1833__5__S. Elizabeth Hall__A Loose End and Other Stories_distribution_gutenberg.txt	1833	S. Elizabeth Hall	A Loose End and Other Stories		https://www.gutenberg.org/ebooks/
1911__28__Basil King__The Street Called Straight_distribution_gutenberg.txt	1911	Basil King	The Street Called Straight		https://www.gutenberg.org/ebooks/14394
1895__0__Various__The Great Round World and What Is Going On In It, Vol. 1, No. 31, June 10, 1897_distribution_gutenberg.txt	1895	Various	The Great Round World and What Is Going On In It, Vol. 1, No. 31, June 10, 1897		https://www.gutenberg.org/ebooks/15631
1914__10__Mary Finley Leonard__The Little Red Chimney_distribution_gutenberg.txt	1914	Mary Finley Leonard	The Little Red Chimney		https://www.gutenberg.org/ebooks/15406
1725__8__Various__Punch, or the London Charivari, Vol. 159, December 22, 1920_distribution_gutenberg.txt	1725	Various	Punch, or the London Charivari, Vol. 159, December 22, 1920		https://www.gutenberg.org/ebooks/
1885__17__F. Marion Crawford__The Children of the King_distribution_gutenberg.txt	1885	F. Marion Crawford	The Children of the King		https://www.gutenberg.org/ebooks/
1902__12__Ernest Crosby__Captain Jinks, Hero_distribution_gutenberg.txt	1902	Ernest Crosby	Captain Jinks, Hero		https://www.gutenberg.org/ebooks/19353
1920__70__Arthur W. Knapp__Cocoa and Chocolate_distribution_gutenberg.txt	1920	Arthur W. Knapp	Cocoa and Chocolate		https://www.gutenberg.org/ebooks/19073
1796__16__Various__McClure's Magazine, January, 1896, Vol. VI. No. 2_distribution_gutenberg.txt	1796	Various	McClure ' s Magazine, January, 1896, Vol. VI. No. 2		https://www.gutenberg.org/ebooks/13637
1889__31__William E. Doubleday__Heiress of Haddon_distribution_gutenberg.txt	1889	William E. Doubleday	Heiress of Haddon		https://www.gutenberg.org/ebooks/15443
1890__4__Stephen Phillips, Laurence Binyon, Manmohan Ghose and Arthur Shearly Cripps__Primavera_distribution_gutenberg.txt	1890	Stephen Phillips, Laurence Binyon, Manmohan Ghose and Arthur Shearly Cripps	Primavera		https://www.gutenberg.org/ebooks/19170
1901__25__Slason Thompson__Eugene Field, A Study In Heredity And Contradictions_distribution_gutenberg.txt	1901	Slason Thompson	Eugene Field, A Study In Heredity And Contradictions		https://www.gutenberg.org/ebooks/12984
1840__6__T.W.E. Holdsworth__Campaign of the Indus_distribution_gutenberg.txt	1840	T.W.E. Holdsworth	Campaign of the Indus		https://www.gutenberg.org/ebooks/12863
1866__16__Various__The Argosy_distribution_gutenberg.txt	1866	Various	The Argosy		https://www.gutenberg.org/ebooks/18373
1913__46__Thomas Dixon__The Southerner_distribution_gutenberg.txt	1913	Thomas Dixon	The Southerner		https://www.gutenberg.org/ebooks/19135
1920__15__Graham Wallas__Human Nature In Politics_distribution_gutenberg.txt	1920	Graham Wallas	Human Nature In Politics		https://www.gutenberg.org/ebooks/11634
1921__25__Zitkala-Sa__American Indian stories_distribution_gutenberg.txt	1921	Zitkala-Sa	American Indian stories		https://www.gutenberg.org/ebooks/10376
1857__30__Charles Kingsley__Two Years Ago, Volume II._distribution_gutenberg.txt	1857	Charles Kingsley	Two Years Ago, Volume II.		https://www.gutenberg.org/ebooks/10995
1878__43__Jean Meslier__Superstition In All Ages (1732)_distribution_gutenberg.txt	1878	Jean Meslier	Superstition In All Ages (1732)		https://www.gutenberg.org/ebooks/17607
