Book	Smell_Word	Smell_Source	Quality	Odour_Carrier	Evoked_Odorant	Location	Perceiver	Time	Circumstances	Effect	SentenceBefore	Sentence	SentenceAfter
guit1	profumo	della spontaneitÃ									Quello che dispiacque al Re fu la discussione fatta dalla stampa francese circa l ' opportunitÃ   di quell ' atto , discussione nella quale l ' idea della visita era stata aspramente criticata , e , come allora soleva , le ingiurie all ' Italia e al suo Re erano state dispensate a piene mani .	Quando il governo francese annunziÃ ² la sua decisione , questa era passata attraverso tali dissensi che aveva perduto il profumo della spontaneitÃ   ; non era la prima volta che i giornali rendevano un cattivo servizio alla politica della Francia .	E fu proprio il Re , senza alcun suggerimento di Crispi , che decise di non recarsi al varo della _ Sardegna _ .
guit2	odorava	un giovanotto bruno	deliziosamente								La mamma , i parenti , le amiche si guardarono in faccia e gridarono : Ã  lui ! Come poi Marta lo vide , parve il caso .	Dopo aver passato tutta una sera a teatro , avente al proprio fianco un giovanotto bruno , amabile , con una vaniglia all ' occhiello che odorava deliziosamente ; dopo essersi accordati sul merito della commedia e sugli abiti della prima attrice , creando cosÃ ¬ una specie di simpatica intesa , di accordo morale , Marta non ebbe nessuna ripugnanza a rivederlo , due giorni dopo , uscendo dalla messa , e altri due giorni ancora accolto in casa , da amico .	Quando fu il momento di decidersi , ognuno le fece osservare , ed osservÃ ² ella stessa per quel po ' d ' esperienza che aveva , la singolare fortuna sua nella media generale delle fanciulle ; molte fra le quali si maritano tardi , spoetizzate e giÃ   avvizzite ; altre non si maritano affatto ; chi deve accontentarsi di un vecchio , chi di un vedovo , chi di uno un po ' corto a cervello , chi di uno spiantato o di un balbuziente o di un mezzo tisico perchÃ ¨ - - dicono le persone assennate - - tutto non si puÃ ² avere .
guit2	miasma		nauseante				la|la			che l ' avvolgeva tutta|la|la prendeva alla gola con un ' ondata di impuritÃ  	A che insistere ? Tacque .	Ma ricalcando le orme della donna , sembrava a Marta che la sconosciuta avesse lasciato qualche cosa dietro a sÃ ¨ , nell ' aria rotta dalla sua persona , sui sassi battuti dal suo piede ; un miasma che saliva , nauseante , che l ' avvolgeva tutta , la prendeva alla gola con un ' ondata di impuritÃ   , soffocandola , strozzandola ; e nella acutezza della sensazione le sembrava di udire laggiÃ ¹ , fra le tenebre della notte , il ghigno beffardo di colei che aveva posseduto suo marito , perchÃ ¨ era lei , lo sentiva ! * * * Le lettere che Marta inviava a sua madre , parlavano tutte di felicitÃ   .	Si esaltava scrivendo dell ' amore che Alberto aveva per lei , e si diceva il suo tesoro , la sua vita ; parole che Alberto da sua parte non aveva mai pronunciate , ma di cui ella inebbriavasi al punto che quando aveva scritto , versando sulla carta l ' amore di cui era compresa , rimaneva sollevata , immaginando che Alberto provasse tutto ciÃ ² che ella stessa sentiva .
guit2	puzzolente|puzzolente	una donna	sucida|puzzolente|puzzolente								Una volta la Collini aveva recata una parola nuova , bizzarra , che nessuna delle bimbe aveva mai udito pronunciare .	Cercata la parola nel dizionario , si trovÃ ² che rispondeva a Â « femmina di mal affare ; Â » per cui tutte si guardarono in faccia meravigliate di comprendere anche meno ; finchÃ ¨ un altro giorno la Collini spiegÃ ² loro che quella parola voleva dire : Â « donna che si vende : Â » onde nuova confusione , che le giovani menti sciolsero ognuna a suo modo , restando nel pensiero di Marta l ' idea di una donna sucida e puzzolente .	NÃ ¨ da tale concetto potÃ ¨ liberarsi piÃ ¹ tardi , quando incominciando a squarciare i veli della vita , seppe che vi sono nel mondo donne che si danno a tutti gli uomini ; ed anche non sapendo precisamente ciÃ ² che implicava , in tal caso , il verbo darsi , queste donne rimasero per lei un mito , qualche cosa di fenomenale come le sirene , e se le immaginÃ ² sempre sucide e puzzolenti ; tanto lontane da lei , cosÃ ¬ fuori dalla sua orbita , che non le destavano nemmeno la curiositÃ   .
guit2	effluvio					dei prati|delle vicine campagne dormenti		La luna d ' agosto			Quando credeva prossima l ' ora del ritorno , si affacciava alla finestra , tendendo l ' orecchio .	La luna d ' agosto , rossa , brillava , sul cielo senza nubi , in un aere molle , grasso di vapori , e l ' afa , che mitigata dalla frescura notturna , prendeva un sembiante di carezza , le passava sul volto con l ' effluvio dei prati , delle vicine campagne dormenti .	Che cosa faceva Alberto laggiÃ ¹ ? PerchÃ ¨ tardava tanto ? L ' attesa , dapprima calma e rassegnata , volgeva , col volgere delle ore , ad una inquietudine generale .
guit2	aroma		giovanile								Incapace a reggersi , piegava il capo sopra un guanciale , su una spalliera di poltrona , su tutto ciÃ ² che poteva darle l ' illusione di una carezza .	Perduta nelle immagini d ' amore scioglieva i capelli , e , attorcigliandoseli sul volto , ne aspirava l ' aroma giovanile , gemendo il proprio nome Â « Marta , Marta ! Â » , che la notte raccoglieva e agli echi deserti della campagna ripeteva Â « Marta , Marta ! Â » Il tempo passava ancora , finchÃ ¨ l ' eccitazione passando , la lasciava sfinita , con le membra rotte , gli occhi pesti e vacillanti .	Tuttavia non andava a letto .
guit2	esalanti|odore	di|di rose|rose secche|secche|di muffa			di|di rose|rose secche|secche						Quantunque non vi fosse un dato positivo , ella sapeva giÃ   a chi era stata diretta , e i pochi o molti anni trascorsi , non modificavano l ' impressione violenta ch ' ella provava leggendo le parole d ' amore scritte da un ' altra a suo marito .	Un ' altra ! La stessa calligrafia minuta , ineguale , la stessa carta sottile leggermente azzurra , traversata da lineette dalle quali le parole saltellavano or sotto or sopra , quasi nervose e indomite , riappariva man mano che Marta toglieva gli oggetti dalla cassa ; foglietti spiegazzati , strappati , tra le cui pieghe si annidavano gli insetti minuscoli che vivono di carta , su cui erano cadute delle macchie ignote dilatando l ' inchiostro , gonfiando le parole ; foglietti che avevano l ' apparenza di lebbrosi , esalanti un odore stantÃ ¬ o di rose secche e di muffa .	Qui - - pensava Marta - - qui Ã ¨ la giovinezza d ' Alberto , i suoi entusiasmi , i suoi palpiti , i suoi ardori , i baci che io aspetto invano .
guit2	profumo					dei prati					Tacquero poi , obbedendo entrambi alla tirannia dei propri pensieri , subendo l ' influenza di quel dolce pomeriggio d ' autunno .	Camminavano lesti , leggeri , aspirando il profumo dei prati , nella tranquilla ascoltazione delle cingallegre che volavano d ' albero in albero ; l ' occhio vagante , il pensiero alato .	Egli si fermÃ ² di botto .
guit2	odoroso|profumo	di	sottile|caldo	nuvolette cineree		verso le pieghe del velario					Ella ricordava un salottino parato con una stoffa a grandi fiori sanguigni , con certi divanucci bassi di una forma affatto speciale , con un velario che mascherava il soffitto e sembrava proteggere quel nido elegante dai contatti plebei .	Ricordava sopratutto un trespolo , poggiato in un canto , sul quale bruciava un qualche cosa di odoroso , evaporando nuvolette cineree che si innalzavano misteriosamente verso le pieghe del velario , lasciandosi dietro un profumo sottile e caldo di persona viva .	Una donna giaceva , coricata a mezzo , sopra uno dei divanini ; ma di quella donna rammentava appena gli occhi nerissimi e un anello che portava sul mignolo della mano ; anello bizzarro formato di sette pezzi ; un diamante , un rubino , uno smeraldo , un topazio , un zaffiro , una perla nera e un dente - - un piccolissimo dente di bimbo , bianco e lucente come un ' opale .
guit3	profumi			l ' aria			dalle nari frementi				CosÃ ¬ la sua qualitÃ   piÃ ¹ alta era l ' osservazione .	Questo giovanotto allegro e spensierato , che respirava l ' aria ed i profumi dalle nari frementi , che aveva la distrazione della gaiezza che passava da un piacere ad un altro , da una impressione ad un ' altra con una rapiditÃ   giovanile , aveva il senso o l ' intuito dell ' osservazione .	Quando scriveva , pareva che ricordasse scene vissute o paesaggi visti .
