id	year	author	title	filename	link
1914__Nicolo Machiavelli__La mandragola - La Clizia - Belfagor.txt	1914				https://www.gutenberg.org/ebooks/
1869__Anton Giulio Barrili__Il Libro Nero.txt	1869	Anton Giulio Barrili	Il Libro Nero		https://www.gutenberg.org/ebooks/38082
1883__Enrico Panzacchi__Donne e poeti.txt	1883	Enrico Panzacchi	Donne e poeti		https://www.gutenberg.org/ebooks/45595
1885__Tommasina Guidi__Riconciliazione.txt	1885	Tommasina Guidi	Riconciliazione		https://www.gutenberg.org/ebooks/22505
1925__Federico De Roberto__Spasimo.txt	1925	Federico De Roberto	Spasimo		https://www.gutenberg.org/ebooks/27369
1869__Vittorio Bersezio__La plebe, parte I.txt	1869	Vittorio Bersezio	La plebe, parte I		https://www.gutenberg.org/ebooks/46723
1872__Edmondo De Amicis__Ricordi del 1870-71.txt	1872	Edmondo De Amicis	Ricordi del 1870-71		https://www.gutenberg.org/ebooks/42541
1720__Bernardo Dovizi da Bibbiena__La Calandria.txt	1720	Bernardo Dovizi da Bibbiena	La Calandria		https://www.gutenberg.org/ebooks/34642
1892__Luigi Capuana__Come l'onda....txt	1892	Luigi Capuana	Come l ' onda...		https://www.gutenberg.org/ebooks/
1909__Roberto Bracco__Uno degli onesti.txt	1909	Roberto Bracco	Uno degli onesti		https://www.gutenberg.org/ebooks/42928
1814__Giuseppe Bertini__Dizionario storico-critico degli scrittori di musica e de' più celebri artisti, vol. 2 (of 4).txt	1814	Giuseppe Bertini	Dizionario storico-critico degli scrittori di musica e de '  più celebri artisti, vol. 2 (of 4)		https://www.gutenberg.org/ebooks/40818
1870__Pietro Fanfani__Novelle e ghiribizzi.txt	1870	Pietro Fanfani	Novelle e ghiribizzi		https://www.gutenberg.org/ebooks/46867
1894__Various__Conferenze tenute a Firenze nel 1896.txt	1894	Various	Conferenze tenute a Firenze nel 1896		https://www.gutenberg.org/ebooks/
1898__Giovanni Pascoli__Sotto il velame.txt	1898	Giovanni Pascoli	Sotto il velame		https://www.gutenberg.org/ebooks/45594
1834__Cesare Cantù__Margherita Pusterla.txt	1834	Cesare Cantù	Margherita Pusterla		https://www.gutenberg.org/ebooks/19039
1896__Gabriele D'Annunzio__Le vergini delle rocce.txt	1896	Gabriele D ' Annunzio	Le vergini delle rocce		https://www.gutenberg.org/ebooks/42513
1909__Roberto Bracco__La piccola fonte.txt	1909	Roberto Bracco	La piccola fonte		https://www.gutenberg.org/ebooks/43356
1882__Gerolamo Rovetta__Ninnoli.txt	1882	Gerolamo Rovetta	Ninnoli		https://www.gutenberg.org/ebooks/28231
1875__Anna Vertua Gentile__Romanzo d'una signorina per bene.txt	1875	Anna Vertua Gentile	Romanzo d ' una signorina per bene		https://www.gutenberg.org/ebooks/22507
1902__Romolo Murri__Il cristianesimo e la religione di domani.txt	1902	Romolo Murri	Il cristianesimo e la religione di domani		https://www.gutenberg.org/ebooks/25265
1813__J.C.L. Simondo Sismondi__Storia delle repubbliche italiane dei secoli di mezzo, v. 11.txt	1813	J.C.L. Simondo Sismondi	Storia delle repubbliche italiane dei secoli di mezzo, v. 11		https://www.gutenberg.org/ebooks/44168
1822__Walter Scott__I Puritani di Scozia, vol. 2.txt	1822	Walter Scott	I Puritani di Scozia, vol. 2		https://www.gutenberg.org/ebooks/43459
1893__Neera__Nel sogno.txt	1893	Neera	Nel sogno		https://www.gutenberg.org/ebooks/17908
1912__Luigi Arnaldo Vassallo__Ciarle e macchiette.txt	1912	Luigi Arnaldo Vassallo	Ciarle e macchiette		https://www.gutenberg.org/ebooks/37054
1877__Colombi, marchesa__Tempesta e bonaccia.txt	1877	Colombi, marchesa	Tempesta e bonaccia		https://www.gutenberg.org/ebooks/17907
1837__Silvio Pellico__Poesie inedite vol. I.txt	1837	Silvio Pellico	Poesie inedite vol. I		https://www.gutenberg.org/ebooks/19429
1929__Giuseppe Mazzini__Scritti di Giuseppe Mazzini, Politica ed Economia, Vol. I.txt	1929	Giuseppe Mazzini	Scritti di Giuseppe Mazzini, Politica ed Economia, Vol. I		https://www.gutenberg.org/ebooks/
1919__Ada Negri__Orazioni.txt	1919	Ada Negri	Orazioni		https://www.gutenberg.org/ebooks/36062
1869__Naftalì Herz Weisel (Wessely) and Elia Morpurgo (Sarcher)__Traduzione di Elia Morpurgo de' Discorsi Ebraici.txt	1869	Naftalì Herz Weisel (Wessely) and Elia Morpurgo (Sarcher)	Traduzione di Elia Morpurgo de '  Discorsi Ebraici		https://www.gutenberg.org/ebooks/40326
1829__Salvatore Di Giacomo__L'ignoto.txt	1829	Salvatore Di Giacomo	L ' ignoto		https://www.gutenberg.org/ebooks/30771
1869__Salvatore Farina__Due amori.txt	1869	Salvatore Farina	Due amori		https://www.gutenberg.org/ebooks/
1917__Annie Vivanti__Vae victis!.txt	1917	Annie Vivanti	Vae victis!		https://www.gutenberg.org/ebooks/38259
1880__Antonio Ghislanzoni__Libro serio.txt	1880	Antonio Ghislanzoni	Libro serio		https://www.gutenberg.org/ebooks/17883
1885__Matilde Serao__Vita e avventure di Riccardo Joanna.txt	1885	Matilde Serao	Vita e avventure di Riccardo Joanna		https://www.gutenberg.org/ebooks/
1886__Anton Giulio Barrili__La montanara.txt	1886	Anton Giulio Barrili	La montanara		https://www.gutenberg.org/ebooks/29036
1868__Cristina Trivulzio di Belgioioso__Osservazioni sullo stato attuale dell'Italia e sul suo avvenire.txt	1868	Cristina Trivulzio di Belgioioso	Osservazioni sullo stato attuale dell ' Italia e sul suo avvenire		https://www.gutenberg.org/ebooks/46126
1888__Matilde Serao__Fior di passione.txt	1888	Matilde Serao	Fior di passione		https://www.gutenberg.org/ebooks/27156
1840__Cesare Balbo__Novelle.txt	1840	Cesare Balbo	Novelle		https://www.gutenberg.org/ebooks/39658
1901__Cesare Pascarella__Sonetti.txt	1901	Cesare Pascarella	Sonetti		https://www.gutenberg.org/ebooks/34734
1911__Ada Negri__Dal profondo.txt	1911	Ada Negri	Dal profondo		https://www.gutenberg.org/ebooks/36060
1855__Memini__Mia.txt	1855	Memini	Mia		https://www.gutenberg.org/ebooks/16980
1901__Matilde Serao__Suor Giovanna della Croce.txt	1901	Matilde Serao	Suor Giovanna della Croce		https://www.gutenberg.org/ebooks/46999
1896__Enrico Castelnuovo__Il fallo d'una donna onesta.txt	1896	Enrico Castelnuovo	Il fallo d ' una donna onesta		https://www.gutenberg.org/ebooks/19442
1890__Giulio Caprin__Gli animali alla guerra.txt	1890	Giulio Caprin	Gli animali alla guerra		https://www.gutenberg.org/ebooks/44763
1885__Anton Giulio Barrili__Terra vergine.txt	1885	Anton Giulio Barrili	Terra vergine		https://www.gutenberg.org/ebooks/35660
1911__Edmondo De Amicis__Speranze e glorie; Le tre capitali.txt	1911	Edmondo De Amicis	Speranze e glorie; Le tre capitali		https://www.gutenberg.org/ebooks/19883
1872__Luigi Capuana__Il nemico è in noi.txt	1872	Luigi Capuana	Il nemico è in noi		https://www.gutenberg.org/ebooks/42643
1894__Luigi Capuana__Nuove "Paesane".txt	1894	Luigi Capuana	Nuove "Paesane"		https://www.gutenberg.org/ebooks/
1824__Carlo Botta__Storia d'Italia dal 1789 al 1814, tomo I.txt	1824	Carlo Botta	Storia d ' Italia dal 1789 al 1814, tomo I		https://www.gutenberg.org/ebooks/45901
1874__Antonio Ghislanzoni__Racconti e novelle.txt	1874	Antonio Ghislanzoni	Racconti e novelle		https://www.gutenberg.org/ebooks/46900
1897__E. Melchior de Vogüé__Il Regno d'Etruria.txt	1897	E. Melchior de Vogüé	Il Regno d ' Etruria		https://www.gutenberg.org/ebooks/43174
1876__Valentino Carrera__Un avvocato dell'avvenire.txt	1876	Valentino Carrera	Un avvocato dell ' avvenire		https://www.gutenberg.org/ebooks/46351
1875__Vittorio Bersezio__La testa della vipera.txt	1875	Vittorio Bersezio	La testa della vipera		https://www.gutenberg.org/ebooks/26452
1887__Salvatore Di Giacomo__'O voto.txt	1887	Salvatore Di Giacomo	' O voto		https://www.gutenberg.org/ebooks/35801
1907__Nicolò Papadopoli Aldobrandini__Le monete di Venezia descritte ed illustrate da Nicolò Papadopoli Aldobrandini, v. 1.txt	1907	Nicolò Papadopoli Aldobrandini	Le monete di Venezia descritte ed illustrate da Nicolò Papadopoli Aldobrandini, v. 1		https://www.gutenberg.org/ebooks/30164
1886__Antonio Caccianiga__La famiglia Bonifazio.txt	1886	Antonio Caccianiga	La famiglia Bonifazio		https://www.gutenberg.org/ebooks/36379
1884__Ambrogio Bazzero__Storia di un'anima.txt	1884	Ambrogio Bazzero	Storia di un ' anima		https://www.gutenberg.org/ebooks/19048
1876__Edmondo De Amicis__Marocco.txt	1876	Edmondo De Amicis	Marocco		https://www.gutenberg.org/ebooks/30725
1601__Giambattista Della Porta__La carbonaria.txt	1601	Giambattista Della Porta	La carbonaria		https://www.gutenberg.org/ebooks/28372
1815__William Shakespeare__La Tempesta.txt	1815	William Shakespeare	La Tempesta		https://www.gutenberg.org/ebooks/26169
1879__Matilde Serao__Dal vero.txt	1879	Matilde Serao	Dal vero		https://www.gutenberg.org/ebooks/19887
1817__J.-C.-L. Simonde (Jean-Charles-Léonard Simonde) de Sismondi__Storia delle repubbliche italiane dei secoli di mezzo, Tomo II.txt	1817	J.-C.-L. Simonde (Jean-Charles-Léonard Simonde) de Sismondi	Storia delle repubbliche italiane dei secoli di mezzo, Tomo II		https://www.gutenberg.org/ebooks/
1877__Ferdinando Fontana__Poesie e novelle in versi.txt	1877	Ferdinando Fontana	Poesie e novelle in versi		https://www.gutenberg.org/ebooks/9642
1874__Anton Giulio Barrili__Castel Gavone.txt	1874	Anton Giulio Barrili	Castel Gavone		https://www.gutenberg.org/ebooks/25181
1890__Various__Gli albori della vita Italiana.txt	1890	Various	Gli albori della vita Italiana		https://www.gutenberg.org/ebooks/45638
1889__Primo Uccellini__Memorie di un vecchio carbonaro ravegnano.txt	1889	Primo Uccellini	Memorie di un vecchio carbonaro ravegnano		https://www.gutenberg.org/ebooks/40299
1907__Roberto Bracco__I fantasmi.txt	1907	Roberto Bracco	I fantasmi		https://www.gutenberg.org/ebooks/
1907__Luigi Capuana__Rassegnazione.txt	1907	Luigi Capuana	Rassegnazione		https://www.gutenberg.org/ebooks/27359
1829__Giambattista Bazzoni__Falco della rupe.txt	1829	Giambattista Bazzoni	Falco della rupe		https://www.gutenberg.org/ebooks/27091
