Branch,File Name,Image ID,Artist,Title,Iconography,Part,Earliest Date,Latest Date,Margin Years,Genre,Material,Medium,Height of Image Field,Width of Image Field,Type of Object,Height of Object,Width of Object,Diameter of Object,Position of Depiction on Object,Current Location,Repository Number,Original Location,Original Place,Original Position,Context,Place of Discovery,Place of Manufacture,Associated Scenes,Object Categories,Related Works of Art,Type of Similarity,Inscription,Text Source,Bibliography,Photo Archive,Image Credits,Details URL,Additional Information,Iconclass code,License,Iconclass code,Description,Keywords,Language
ArtHist,Joconde_ii_0110583.jpg,,"AVISSE Paul Alexandre , manufacture de Sèvres",Théière,theiere,,1850,1899,,dessin,"graphite, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2726 ; Tiroir B2 / Formes XVIIIe - services / Dossier croquis pour les théières (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190042503/0110583.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190042503,,,,,1906 correspond à la date d'inscription sur l'inventaire,,
ArtHist,Joconde_ii_0110579.jpg,,"AVISSE Paul Alexandre , manufacture de Sèvres",Théière,theiere,,1850,1899,,dessin,"graphite, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2728 ; Tiroir B2 / Formes XVIIIe - services / Dossier croquis pour les théières (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190042505/0110579.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190042505,,,,,1906 correspond à la date d'inscription sur l'inventaire,,
ArtHist,Joconde_ii_0110808.jpg,,"AVISSE Paul Alexandre , manufacture de Sèvres",Théière,theiere,,1850,1899,,dessin,"graphite, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2733 ; Tiroir B2 / Formes XVIIIe - services / Dossier croquis pour les théières (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190042510/0110808.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190042510,,,,,1906 correspond à la date d'inscription sur l'inventaire,,
ArtHist,Joconde_ii_0110657.jpg,,"AVISSE Paul Alexandre , manufacture de Sèvres",Théière,theiere,,1850,1899,,dessin,"graphite, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2734 ; Tiroir B2 / Formes XVIIIe - services / Dossier croquis pour les théières (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190042511/0110657.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190042511,,,,,1906 correspond à la date d'inscription sur l'inventaire,,
ArtHist,Joconde_ii_0036186.jpg,,"Brongniart Alexandre Théodore (1739-1813) , manufacture de Sèvres",Théière,theiere,,1800,1899,,dessin,"graphite, plume, encre, gouache, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.1363 ; Section D.S.3.1804.N°1 (Ancien numéro) ; Armoire R / Tiroir R4 (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190032404/0036186.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190032404,"Ornements en coloris pour théière : frise de feuilles de vigne et de grappes de raisin au col; bouquet dans un panier haut, canne et oiseaux sur la panse : bec à tête de lion, anse droite à palmettes, col et pied dorés; Théière en coloris",,,,,,
ArtHist,Joconde_ii_0038423.jpg,,manufacture de Sèvres,Théière,theiere,,1750,1799,,dessin,"graphite, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.224 ; R.1 L.2 d.4 F19 (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190029462/0038423.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190029462,Vue de profil et coupe d'une théière à quatre pans ronds,,,,,,
ArtHist,Joconde_ii_0039001.jpg,,manufacture de Sèvres,Théière,theiere,,1800,1849,,dessin,"graphite, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.1494 ; Armoire R / Tiroir R5 (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190032616/0039001.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190032616,,,,,,,
ArtHist,Joconde_ii_0035624.jpg,,"DUPLESSIS Jean-Claude (attribué à) , manufacture de Sèvres",Théière,theiere,,1750,1774,,dessin,"plume, encre, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2011.3.814 ; Armoire R / Tiroir R2 (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190031441/0035624.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190031441,,,,,,,
ArtHist,Joconde_ii_0111126.jpg,,manufacture de Sèvres,Théière,theiere,,1850,1899,,dessin,"graphite, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.3018 ; Tiroir B2 / Formes XVIIIe - services / Dossier Formes 1870-1890 / Projet de cabarets (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190042798/0111126.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190042798,,,,,,,
ArtHist,Joconde_ii_0110612.jpg,,"AVISSE Paul Alexandre , manufacture de Sèvres",Théière,theiere,,1850,1899,,dessin,"graphite, lavis, papier",,,,,,,,,Sèvres ; Sèvres - Cité de la céramique,2012.1.2720 ; Tiroir B2 / Formes XVIIIe - services / Dossier croquis pour les théières (Ancien emplacement),,,,,,,,,,,,,,https://www.pop.culture.gouv.fr/,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/50190042497/0110612.jpg,https://www.pop.culture.gouv.fr/notice/joconde/50190042497,,,,,1906 correspond à la date d'inscription sur l'inventaire,,
