id	year	author	title	filename	link
1936__Steiner_Rudolf__Il_mondo_dei_Sensi_e_il_mondo_dello_Spirito.txt	1936	Steiner, Rudolf	Il mondo dei Sensi e il mondo dello Spirito
1917__Klidsa__La_stirpe_di_Raghu.txt	1917	Kālidāsa	La stirpe di Raghu
1995__Serao_Matilde__O_Giovannino_o_la_morte.txt	1995	Serao, Matilde	O Giovannino, o la morte
1995__DAnnunzio_Gabriele__Linnocente.txt	1995	D'Annunzio, Gabriele	L'innocente
1994__Pirandello_Luigi__La_vita_nuda.txt	1994	Pirandello, Luigi	La vita nuda
1816__Badia_y_Leblich_Domingo__Viaggi_di_Ali_Bey_elAbbassi_in_Africa_ed_in_Asia_dallanno_1803_a_tutto_il_1807_Tomo_1.txt	1816	Badia y Leblich, Domingo	Viaggi di Ali Bey el-Abbassi in Africa ed in Asia dall'anno 1803 a tutto il 1807 – Tomo 1
1963__Pukin_Aleksandr_Sergeevi__Dubrovskij.txt	1963	Puškin, Aleksandr Sergeevič	Dubrovskij
1896__Costa_Andrea_18511910__Il_18_marzo_e_la_Comune_di_Parigi.txt	1896	Costa, Andrea <1851-1910>	Il 18 marzo e la Comune di Parigi
1869__Petruccelli_della_Gattina_Ferdinando__Il_concilio.txt	1869	Petruccelli della Gattina, Ferdinando	Il concilio
1994__Grazia_Deledda__La_chiesa_della_solitudine.txt	1994	Grazia Deledda	La chiesa della solitudine
1806__Tiraboschi_Girolamo__Storia_della_letteratura_italiana_del_cav_Abate_Girolamo_Tiraboschi_Tomo_4_Parte_1_Dallanno_MCLXXXII.txt	1806	Tiraboschi, Girolamo	Storia della letteratura italiana del cav. Abate Girolamo Tiraboschi – Tomo 4. – Parte 1:
1859__Marselli_Niccola__La_ragione_della_musica_moderna.txt	1859	Marselli, Niccola	La ragione della musica moderna
1912__Tartufari_Clarice__Lalbero_della_morte.txt	1912	Tartufari, Clarice	L'albero della morte
1925__Poliziano_Angelo__Praelectio_in_Priora_Aristotelis_Analytica_cui_titulus_Lamia.txt	1925	Poliziano, Angelo	Praelectio in Priora Aristotelis Analytica, cui titulus Lamia
1945__Juvalta_Erminio__Il_fondamento_intrinseco_del_diritto_secondo_il_Vanni.txt	1945	Juvalta, Erminio	Il fondamento intrinseco del diritto secondo il Vanni
1898__Rovetta_Gerolamo__Lidolo.txt	1898	Rovetta, Gerolamo	L'idolo
