Book	Smell_Word	Smell_Source	Quality	Odour_Carrier	Evoked_Odorant	Location	Perceiver	Time	Circumstances	Effect	SentenceBefore	Sentence	SentenceAfter
ro2	Effluvia					out of our Globe					Give me leave here to reflect a little upon the late Aurora Borealis , whose Phenomenon you have so well described and explained in your late Philosophical Transaction , No 347 .	I am of your Opinion , that those Phosphorous or Luminous Appearances in the Firmament , proceed from the various Effluvia perspir ' d out of our Globe , or passing thro ' it ~ for I have seen those Lights over Vesuvius , the Strombulo Islands , and towards Aeina in dark Nights , when those Vulcano ' s were nor firing nor burning , their Sides and Tops being passable to Tra vellers at that time , and all their outward parts quiet .	We are certain that Iceland and Greenland abound with Vulcano ' s ; so may North East Lapland , North Russia and Tartary , where vast Chains of Mountains are said to run .
ro13	Smell		phosphoreal								I mention that what is held near the Bottom of the Wire should be black , because then you see this Flame more sharp .	Here the phosphoreal Smell might be perceived at a considerable Distance .	If the Back of your Hand was brought so near this Wire as to occasion a Snap , and these Snaps were received for some time , you would feel them * In the Course of these Observations , whenever I mention either Originally - electrics or Non - electrics , I always understand the whole Genus of each .
ro16	smells|smell	it			like Rotten cheese		he			that sweats out of the earth	between a stone and an earth ; but whether the one or the other , made of a mixture ( I guess ) of some Salt or other , and a pure earth without Sulphur , coagulated in the winter , and hardened to perfection by the heats in Summer .	Which Salt Johannes Hessus proves by a very cogent argument to be Alumen liquidum , describing it , as Matthiolus also does p , to be a whitish lacteous substance somewhat inclining to yellow , that sweats out of the earth , and smells like Rotten cheese : whereof having gathered a quantity at Puteoli , together with the other Species ' s of Alum , and kept it a while by him , when he came to look on it again , he found it to have lost the smell , and a great part of it changed into Alumen Plumeum q : the Saline part ( I suppose ) shooting into threads , and the pure earth uniting them , as found in the places wherever generated : whether sweating from the earth as Pliny and Matthiolus would have it r ; or percolated through rocks , as we find it in Wales , the veins of it there running through a rock of stone in hardness and colour not unlike flint ~ .	And yet it seems to be made of much such an Alum as that of John Hessus at Puteoli was , some of it being strawcolour ' d , as if it still retained the yellowness that his liquid bitumen was said to have : which is a colour not given it by any Author , most of it being said to be white or cinereous ; some of it red ; and some of an Iron colour as Agricola tells us t ; and I have some of the Cyprian by me sent from Aleppo by my worthy friend Dr .
ro24	smell		acrimonious	The steam					comes from the boiling		The Copperas they shovel on a Floor adjoining , so that the Liquor may drain from it into a Cooler .	The steam which comes from the boiling is of an acrimonious smell .	Copper as may be boiled without Iron , but with difficulty .
ro37	Smelling						them				In the Vermin kind , and those that have a long Rostrum , I have observed the like .	For Nature here seems to give them more particularly the advantage of the Sense of Smelling , for finding out their Prey , or avoiding the Danger they would shun .	So likewise I observed the Optic Nerve , as likewise the Eye to be large ; the better to look out for the one , or the other .
ro57	odour	of decomposing gun - cotton	perceptible|faint	vapours				In the course of a few minutes	at the opening of the tube|after the first application of heat		The whole arrangement was then introduced into a test - tube , like those used in the preceding experiments , and the voltaic circuit was completed .	In the course of a few minutes the odour of decomposing gun - cotton was perceptible at the opening of the tube ; faint nitrous vapours were soon afterwards observed , and within about fifteen minutes after the first application of heat , the gun - cotten exploded very sharply with only a faint flash , and the tube was shattered and violently dispersed .	The great violence of the explosion at Woolwich , in 1866 , of about 140 lbs .
ro83	odour|odour	of ammonia|methylamine	perceptible|strongest					when|when a|a long|long time|time has|has elapsed|elapsed during|during the|the previous|previous parts|parts of|of the|the process|process	Under all circumstances|on adding potash for the final precipitation of the cotarnine|when|when a|a long|long time|time has|has elapsed|elapsed during|during the|the previous|previous parts|parts of|of the|the process|process		3 proceeded with without much delay , otherwise the quantity obtained is small and its colour dark .	Under all circumstances the odour of ammonia , or methylamine , is perceptible on adding potash for the final precipitation of the cotarnine ; and this odour is strongest when a long time has elapsed during the previous parts of the process .	The decomposition which is thus indicated appears to lessen the amount of product obtained in two ways : not only is the quantity of cotarnine existing in the solution diminished by the amount that has suffered decomposition , but the resulting volatile alkali seems to prevent the precipitation of the unaltered base .
ro86	odour	the water									Some steel waters , I believe , contain a large proportion of air , whose elasticity may occasion it to break forth with an explosive force ; some others there are , which contain a volatile and sulphureous halitus ; and to one or other of these two causes , or to some other mineral principle , I think most of the phenomenon may be referred , which have been attributed to a ferrugineous or vitriolic volatile spirit .	As the first thing observable in a mineral water is its outward form , we must therefore take notice , that the water of this Spaw equals the clearest springwater in transparency ; and is likewise as free of any colour or odour : yet its taste is very strong , and may be discerned to be compounded of a sweet , subacid , and astringent taste .	Its sweetness and acidity appear sensibly to arise from alum ; and its high styptic and astringent taste does as evidently proceed from that mineral salt , joined with some earthy or ferrugineous parts .
ro86	vapour		tenuious								This induced me to think , that the mineral parts , which caused the acid and astringent tastes , were mixed in the waters of these two springs in different proportions .	I remember , as I was once carefully observing a large glass full of a chalybeat water , which contained much of this cremor ; soon after it was exposed to the air , I observed a tenuious blueish vapour rising in the parts of the water next the surface , which very much diminished its transparency ; and by degrees this vapour was emitted by the lowest parts of the water : but as the cremor increased on its surface , the water became gradually deprived of the blueish tincture , which it received from this halituous body ; which was apparently nothing else but the parts of the cremor separating from the water , and ascending upwards .	From whence we may conclude , that this cremor consists of the very finest parts of iron attenuated to the highest degree .
ro93	stench		noisome|most offensive	vapours					as soon as the storm is over	strike the nostrils|occasion bilious vomitings , fluxes , and putrid fevers	accompanied with violent thunder and lightning , and very heavy showers .	The earth drenched by these showers , and acted upon with an intense solar heat as soon as the storm is over , sends forth such noisome vapours as strike the nostrils with a most offensive stench , and occasion bilious vomitings , fluxes , and putrid fevers .	Besides these vapours , which are annual , there appears to be a collection of still more pestiferous matter , confined for a longer time , and issuing from the earth after an interval of five , six , or seven years .
ro93	effluvia|putrid|putrid|noxious|noxious	of a putrid|putrid marsh	even noxious|noxious	the Harmattan|the wind							LIND says , the living were scarce sufficient to remove and bury the dead .	' ' It is to be observed , that there may be instances in which the Harmattan comes loaded with the effluvia of a putrid marsh ; and if there are any such situations , the nature of the wind may be so changed as to become even noxious .	Another inquiry which I desired Mr .
ro104	smell					Some of the wards|to such places					Hales and I could perceive a considerable improvement made upon the air of the whole gaol , since the time we had been first there with the committee .	Some of the wards were so free from any smell peculiar to such places , that I am persuaded , were Dr .	Hales ' s design completed , and a person appointed to regulate the sliders of the tubes , and to keep the machine in order , the usual bad consequences from foul and crouded goals , might in a great measure , if not wholly , be prevented in Newgate .
ro104	putrid|putrid|smell		putrid|putrid|most offensive	into|the wind							that this ward of the women had been supplied by a ventilating tube before those in the lower story , where the air being in a more corrupted state , it had passed from thence thro ' the seams of the floor , and other passages , to replace that , which was drawn off by the tube in the ward above : but that after the bad air was exhausted , the benefit of the fresh air soon appeared , by the better health of the prisoners .	But as it was not my design in this paper to set forth all the advantages , that may be expected from the ventilator , I shall leave that subject to be treated of by the ingenious inventor of it ; and shall only take notice , that the tubes from the several wards , uniting in one great trunk , convey all the putrid steams by that channel into the atmosphere , through a vent made for that purpose in the leads of Newgate ; and that tho ' the wind was moderate during the time we staid in the gaol , yet we observed , that the ventilator lator threw out a considerable stream of air , of a most offensive smell .	Before we parted , Mr .
