Smell_Word	Smell_Source	Odour_Carrier	Perceiver	Quality	Effect	Evoked_Odorant	Creator	Circumstances	Location	Time	Title	Annotator	Sentence
strup	strup | strup				strup | strup						Si-PubH-1898-FPG_04233-18.txt	jsi_annotator1.tsv	Dokazano je pa, da alkohol nima trajnega učinka, da bi pomnožil moč, ker je strup, ki omami in oslabi organizem; žal, da je obče napačno mnenje, da krepi zdravje in pomnoži moč.
alkoholičnih pijač			svojih društvenikov | ljudje boljših stanov | navadni pijanci								Si-PubH-1898-FPG_04233-18.txt	jsi_annotator1.tsv	Zatorej imajo največ vspeha prav ona društva, katera zahtevajo od svojih društvenikov popolno vzdrževanje alkoholičnih pijač, dočim nekatera zahtevajo le zmerno vživanje istih.
slabi zgledi					priložnost in zapeljevanje k slabem						Si-PubH-1898-FPG_04233-18.txt	jsi_annotator1.tsv	Nikakor pa nista opojna pijača in vedno večje obubožanje temu vzrok, kajti to vzročujejo tudi vedno rastoče nerodnosti, slabi zgledi, priložnost in zapeljevanje k slabem; to so posledice posedanja v gostilnah in žganjarnah.
žganje	žganje | v Nemčiji | v Belgiji | na Angleškem | v Ameriki in na Ogerskern								v Nemčiji | v Belgiji | na Angleškem | v Ameriki in na Ogerskern		Si-PubH-1898-FPG_04233-18.txt	jsi_annotator1.tsv	Otrokom tu lahko govorimo o vrveži, o kuhanju (destilaciji) žganja; tu zopet lahko omenimo, iz česa se pripravlja žganje, n. pr. da ga v Nemčiji delajo iz pšenice in rži, v Belgiji iz rži, na Angleškem iz ječmena, v Ameriki in na Ogerskern iz koruze; razven iz krompirja in žita napravljajo žganje, oziroma alkoholične pijače iz jabolk, hrušk, črešenj, sliv, vina (konjak), sladkornega trsa (rum) itd.
špirit	špirit								v Monsheim-u v Pfalci	1750	Si-PubH-1898-FPG_04233-18.txt	jsi_annotator1.tsv	Prva tvornica za špirit je pričela leta 1750. delovati v Monsheim-u v Pfalci.
dihanje	alkohola										Si-PubH-1898-FPG_04233-18.txt	inna.tsv	Pri hipnem opešanju močij lahko reši malo povžitega alkohola življenje s tem, da poviša dihanje in delovanje srca.
strupenih	snovij										Si-PubH-1898-FPG_04233-18.txt	inna.tsv	V severnih zjedinjenih državah so žene dosegle, da je med obveznimi učnimi predmeti pouk o pogubonosnih posledicah, katere so vzrok žganjepitja in vživanja drugih enakih strupenih snovij.
opojnih	pijač										Si-PubH-1898-FPG_04233-18.txt	inna.tsv	Velike važnosti so tudi mnogoštevilna društva, katerih namen je, svoje društvenike navajati k treznosti ali pa celo do tega, da se popolno vzdrže opojnih pijač.
strupene	fuzla										Si-PubH-1898-FPG_04233-18.txt	inna.tsv	Država lahko zdatno omeji izdelovanje alkohola s tem, da določi mero, koliko bi se ga smelo največ napraviti, dalje s tem, da prepove kuhati žganje doma ter s tem prepreči toli kvarno domače pijančevanje, da pomanjša število žganjaren kolikor mogoče in to v vedno večji meri, da ukaže žganjarne zvečer in po noči zapreti, da prepove prodajati žganje na up, da ostro kaznuje krčmarje, kateri bi mladoletnim ali pijanim dajali žganja, in s tem, da se alkohol kolikor le mogoče očisti strupene primesi, takozvanega fuzla.
opojnih	pijač										Si-PubH-1898-FPG_04233-18.txt	inna.tsv	Sedem držav v severni Ameriki, (na čelu država Maine) brezpogojno prepovedalo prodajo opojnih pijač, — a vspehi niso nič kaj povoljni.
opojnih	pijač										Si-PubH-1898-FPG_04233-18.txt	inna.tsv	Vspeh v izpolnjevanju težavne naloge je tem večji, kolikor bolj se vživanja opojnih pijač vzdržuje osobje take naprave in to od najvišjega do najnižjega uslužbenca, od ravnatelja in zdravnika do najzadnjega sluge.
opojnih	pijač										Si-PubH-1898-FPG_04233-18.txt	inna.tsv	Konečno je omeniti še dopustnega upliva države na zavarovalne družbe, katere naj bi dovolile manje premije zavarovancem, ki se vzdržujejo opojnih pijač.
zakajenih									beznicah		Si-PubH-1898-FPG_04233-18.txt	inna.tsv	Na ta način navadite može na dom in jih učite, da bodo iskali veselja doma, ne pa po zakajenih beznicah«. — Mej katoliškimi duhovniki imamo res mnogo krasnih zgledov.
opojnih	pijač							150.000 ljudij obljubo vzdržnosti	v Korku	v preteku 8 mesecev	Si-PubH-1898-FPG_04233-18.txt	inna.tsv	Vsaki teden je imel po dva govora proti vlivanju opojnih pijač in v preteku 8 mesecev je storilo v Korku že 150.000 ljudij obljubo vzdržnosti.
