Pos	Smell_Word	Smell_Source	Odour_Carrier	Perceiver	Quality	Effect	Evoked_Odorant	Creator	Circumstances	Location	Time	Emotion	Emotion_Type	Emotion_Sentiment	Emotion_Other	Title	Annotator	Sentence
1-64	odour	Australian Bush			most delicate							lovely	Joy	Positive		001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	enormous tropical forests, little known to man,and from which he gathers here and there the treasures forour orchid- and greenhouses ; great island conservatories likeJava and Ceylon and Borneo, rich in spices and lovely plantlife : Australian Bush, with traces of plant life as if from\tanother world, but often most delicate in odour even in thefragments of them we see in our greenhouses.
2-11	odours		the fragile flower-vases		sweet											001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	It is not only from the fragile flower-vases these sweetodours flow; they breathe through leaf and stem, and thewhole being of many trees and bushes, from the statelyCum trees of Australia to the sweet Verbena of Chili.
2-14	odours		odours | stem | leaf													001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	It is not only from the fragile flower-vases these sweetodours flow; they breathe through leaf and stem, and thewhole being of many trees and bushes, from the statelyCum trees of Australia to the sweet Verbena of Chili.
3-10	scent	of the Boxbush			strange							charm	Joy	Positive		001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Manymust have felt the charm of the strange scent of the Boxbush before Oliver Wendell Holmes told us of its ‘ breathingthe fragrance of eternity, for this is one of the odours whichcarry us out of time into the abysses of the unbeginningpast.’
3-25	fragrance	of the Boxbush		Oliver Wendell Holmes												001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Manymust have felt the charm of the strange scent of the Boxbush before Oliver Wendell Holmes told us of its ‘ breathingthe fragrance of eternity, for this is one of the odours whichcarry us out of time into the abysses of the unbeginningpast.’
3-35	odours			us								which carry us out of time into the abysses of the unbeginning past | which carry us out of time into the abysses of the unbeginning past	Nostalgia | Nostalgia	 | 	 | 	001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	Manymust have felt the charm of the strange scent of the Boxbush before Oliver Wendell Holmes told us of its ‘ breathingthe fragrance of eternity, for this is one of the odours whichcarry us out of time into the abysses of the unbeginningpast.’
4-2	scent	of flowers | of the Tuberose										cloying | cloying | delightful	Disgust | Disgust | Joy	Negative | Negative | Positive	 |  | 	001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	The scent of flowers is often cloying, as of theTuberose, while that of leaves is often delightful and refreshing, as in the green budding Larch, and in the leaves of Balmand Rosemary, while in many cases fragrance is stored in thewood and permeates down through the roots.
4-15	scent	of leaves | in the green budding Larch | in the leaves of Balm and Rosemary			refreshing							scent | delightful	Smell_Word | Joy	 | Positive	 | 	001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	The scent of flowers is often cloying, as of theTuberose, while that of leaves is often delightful and refreshing, as in the green budding Larch, and in the leaves of Balmand Rosemary, while in many cases fragrance is stored in thewood and permeates down through the roots.
4-44	fragrance		in the wood						in many cases							001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	The scent of flowers is often cloying, as of theTuberose, while that of leaves is often delightful and refreshing, as in the green budding Larch, and in the leaves of Balmand Rosemary, while in many cases fragrance is stored in thewood and permeates down through the roots.
6-11	fragrance	The Geraniums | the Lavender bush			spicy		of the South African hills | of the sunny hills of Provence			in the cottage window						001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.tsv	femke.tsv	The Geraniums in the cottage window bring us the spicy\tfragrance of the South African hills ; the Lavender bush ofthe sunny hills of Provence, where it is at home ; theRoses in the garden bring near us the breath of the wildRoses on a thousand hills ; the aromatic pot-herbs of ourgardens are a gift of the shore-lands of France and Italy andGreece.
