Pos	Smell_Word	Smell_Source	Odour_Carrier	Perceiver	Quality	Effect	Evoked_Odorant	Creator	Circumstances	Location	Time	Emotion	Emotion_Type	Emotion_Sentiment	Emotion_Other	Title	Annotator	Sentence
1-11	puanteur	soulphre		les ames dãnées	intolerable					Enfer		grãd tourment	Sadness	Negative		0015F Anonymous 1678 Les sept trompettes spirituelles.tsv	pasquale.tsv	La quatriesme peine de l’Enfer, est vnepuanteur intolerable, qui auec grãd tourment,prend les ames dãnées au nez, l’Escrituresainte appelle cette puãteur, puantisede soulphre.Le feu, le soulphre,&l’esprit des temp stes est la portion de leur boisson.
4-14	puanteur				insupportables | extremes | grands					Enfer		vn plus grand tourment	Sadness	Negative		0015F Anonymous 1678 Les sept trompettes spirituelles.tsv	pasquale.tsv	Or la cause  pour quoy le feu, le froid, & lapuanteur de l’Enfer sont si grands, si extremes,& insupportables, c’est qu’aucunevapeur ny exhalaison ne sort de là, laiustice diuine y retenant & resserrant toutpour vn plus grand tourment.
6-47	puanteur															0015F Anonymous 1678 Les sept trompettes spirituelles.tsv	pasquale.tsv	Ie te prie, pecheur, me dire vn peu quellepatience & repos tu pourrois auoir, si tute trouuois enfermé dans vn cloaque bienprofond, plein de toutes sortes de charongnespourries, & autres sortes de vilainies,sans que la puanteur en peust aucunementestre exhalée.
6-52	exhalée															0015F Anonymous 1678 Les sept trompettes spirituelles.tsv	pasquale.tsv	Ie te prie, pecheur, me dire vn peu quellepatience & repos tu pourrois auoir, si tute trouuois enfermé dans vn cloaque bienprofond, plein de toutes sortes de charongnespourries, & autres sortes de vilainies,sans que la puanteur en peust aucunementestre exhalée.
8-10	puanteur	corps														0015F Anonymous 1678 Les sept trompettes spirituelles.tsv	pasquale.tsv	Ie telaisse à penser, quelle sera la puanteur detant de corps d’homme & de femmes, quiseront vn iour auec les Diables.
1-11	puanteur	soulphre		les ames dãnées	intolerable					Enfer		grãd tourment	Sadness	Negative		0015F Anonymous 1678 Les sept trompettes spirituelles.tsv	pasquale.tsv	La quatriesme peine de l’Enfer, est vnepuanteur intolerable, qui auec grãd tourment,prend les ames dãnées au nez, l’Escrituresainte appelle cette puãteur, puantisede soulphre.Le feu, le soulphre,&l’esprit des temp stes est la portion de leur boisson.
4-14	puanteur				insupportables | extremes | grands					Enfer		vn plus grand tourment	Sadness	Negative		0015F Anonymous 1678 Les sept trompettes spirituelles.tsv	pasquale.tsv	Or la cause  pour quoy le feu, le froid, & lapuanteur de l’Enfer sont si grands, si extremes,& insupportables, c’est qu’aucunevapeur ny exhalaison ne sort de là, laiustice diuine y retenant & resserrant toutpour vn plus grand tourment.
6-47	puanteur															0015F Anonymous 1678 Les sept trompettes spirituelles.tsv	pasquale.tsv	Ie te prie, pecheur, me dire vn peu quellepatience & repos tu pourrois auoir, si tute trouuois enfermé dans vn cloaque bienprofond, plein de toutes sortes de charongnespourries, & autres sortes de vilainies,sans que la puanteur en peust aucunementestre exhalée.
6-52	exhalée															0015F Anonymous 1678 Les sept trompettes spirituelles.tsv	pasquale.tsv	Ie te prie, pecheur, me dire vn peu quellepatience & repos tu pourrois auoir, si tute trouuois enfermé dans vn cloaque bienprofond, plein de toutes sortes de charongnespourries, & autres sortes de vilainies,sans que la puanteur en peust aucunementestre exhalée.
8-10	puanteur	corps														0015F Anonymous 1678 Les sept trompettes spirituelles.tsv	pasquale.tsv	Ie telaisse à penser, quelle sera la puanteur detant de corps d’homme & de femmes, quiseront vn iour auec les Diables.
3-14	nez			vous	vénérables											0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	Comment recevrez - vous les conseils que je vais vous donner V vénérables nez de mes concitoyens !
4-15	puante	tabac | poudre		vous								jouissances	Joy	Positive		0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	Je viens blâmer l'usage où vous êtes de vous alimenter d'une poudre noire et puante ; je veux vous priver d'une de vos plus grandes jouissances.
8-49	l'odorat				finesse	détruire										0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	Aujourd'hui, ses mauvais effets se bornent, en France, ,à ceux qu'elle eut et aura toujours , de dessécher le cerveau , d'ouvrir un cautère qu'on ne peut plus fermer sans danger , d'affaiblir la mémoire, de détruire en grande partie la finesse de l'odorat.
11-40	l'odeur	celle qui			la plus repoussante											0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	certes , je ne prétends pas disputer sur les goûts; mais parmi les plantes qui pourraient donner à vos organes cette commetion que l'habitude vous a rendue si agréable, pourquoi avez -vous choisi celle qui a l'odeur la plus repoussante, la couleur la moins attrayante; celle dont la feuille ne produit un picottement douloureux, que lorsqu'elle est à demi putréfaite?
14-96	nous		corps	nous | s'exilaient	diverses | qui | dangereuses | utiles											0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	On rit des sauvages qui impriment sur leurs corps de bi- barres figures, qui pendent dés os, dès coquillages,, des coraux , aux cartilages de leurs liez et dè leurs oîêréS \\ qui teignent Desirs dents-, leurs sourcils , leurs paupières ; qui enfin gâtent , déforment tout ce que là Mâture leur avait donné de bon et de beau ; niais en Vérité,, samtiié's-floüs moins déraisonnables £ La Nat ure no us' a fait' des nez pOUf que nous puissions juger des diverses odeurs qui s'exilaient: des corps, et cônséqüemmént dè leurs qualités utiles ou dangereuses.
14-97	qui															0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	On rit des sauvages qui impriment sur leurs corps de bi- barres figures, qui pendent dés os, dès coquillages,, des coraux , aux cartilages de leurs liez et dè leurs oîêréS \\ qui teignent Desirs dents-, leurs sourcils , leurs paupières ; qui enfin gâtent , déforment tout ce que là Mâture leur avait donné de bon et de beau ; niais en Vérité,, samtiié's-floüs moins déraisonnables £ La Nat ure no us' a fait' des nez pOUf que nous puissions juger des diverses odeurs qui s'exilaient: des corps, et cônséqüemmént dè leurs qualités utiles ou dangereuses.
14-98	s'exilaient															0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	On rit des sauvages qui impriment sur leurs corps de bi- barres figures, qui pendent dés os, dès coquillages,, des coraux , aux cartilages de leurs liez et dè leurs oîêréS \\ qui teignent Desirs dents-, leurs sourcils , leurs paupières ; qui enfin gâtent , déforment tout ce que là Mâture leur avait donné de bon et de beau ; niais en Vérité,, samtiié's-floüs moins déraisonnables £ La Nat ure no us' a fait' des nez pOUf que nous puissions juger des diverses odeurs qui s'exilaient: des corps, et cônséqüemmént dè leurs qualités utiles ou dangereuses.
21-29	parfums		cheveux | corps	Les anciens	sàuves											0017F Anonymous 1794 Courier du Pas-de-Calais.tsv	pasquale.tsv	Les anciens, bien plus Sages , bien, plus voluptèux que nous , répandaient sur leurs cheveux , Sur. tout  leur corps , de sàuves parfums.
