Smell_Word	Smell_Source	Odour_Carrier	Perceiver	Quality	Effect	Evoked_Odorant	Creator	Circumstances	Location	Time	Title	Annotator	Sentence
l'odeur	fleurs d'Orange	DAns une caisse	vous	pas assez forte							096F Barbe 1693 Le parfumeur françois.txt	pasquale.tsv	Si l'odeur ne vous en paroît pas assez forte, vous en pourreé remettre encore une fois te elle sera faite.
odeur	cette drogue		nous	Aromatique | souëue | parfumer					Tabago | Barboude | Antilles		108 Antilles.txt	pasquale.tsv	On en a aussi ramasse quelque fois, aprés de rudes tempestes sur les rades de Tabago, de la Barboude & de quelques autres de nos Antilles, comme nous le reconnoissons par plusieurs mémoires , que nous avons entre nos mains : Et c'est ce qui nous fait croire , que sans sortir des limites des l'Histoire Naturelle que nous traitons, nous pouvons parfumer tout ce Chapitre de la souëue odeur dé cette drogue Aromatique, qui est sans contredit la plus rare, & la plus preciéuse de toutes les productions, que l'Océan ait encore pouffé hors de son vaste & inépuisable sein y pour enrichir ce nouveau monde.
parfumée	Crocodiles | chair			parfumée							108 Antilles.txt	pasquale.tsv	D'autres croyent qu'il vient des Crocodiles, parce que leur chair est parfumée.
odeur	sa		Panteres	bonne					ce lieu-là		108 Antilles.txt	pasquale.tsv	Filostrate en la vie d'Apollonius dit, que les Panteres qui font à l'entour du mont Caucase , aiment fort la bonne odeur de ce lieu-là.
Oiseaus	sa | odeur		Oiseaus						fort loin		108 Antilles.txt	pasquale.tsv	Mais il est certain qu'entre autres bestes, les Oiseaus se montrent extremément amoureus de cet Ambre , &qu'ils le sentent de fort loin.
odeur				mauvaise	attire ces Oiseaus						108 Antilles.txt	pasquale.tsv	Et ce n'est pas la bonne odeur , mais sa mauvaise , qui attire ces Oiseaus.
parfum	sa			precieus | admirable							108 Antilles.txt	pasquale.tsv	Car ce parfum si precieus & si admirable , lors qu'il est encore frais , & mol, & qu'il ne fait que sortir de la mer, sent tres-mauvais, & les animaus y courent en même fasson, qu'ils vont aus charognes : Car ion odeur est à peu près , comme du lard corrompu, il est à croire, que c'est pour cette raison , que l'on a été si long-tems à le connoitre, & à s'en servir.
sent	sa			tres-mauvais	les animaus y courent en même fasson , qu'ils vont aus charognes			lors qu'il est encore frais , & mol	mer		108 Antilles.txt	pasquale.tsv	Car ce parfum si precieus & si admirable , lors qu'il est encore frais , & mol, & qu'il ne fait que sortir de la mer, sent tres-mauvais, & les animaus y courent en même fasson, qu'ils vont aus charognes : Car ion odeur est à peu près , comme du lard corrompu, il est à croire, que c'est pour cette raison , que l'on a été si long-tems à le connoitre, & à s'en servir.
odeur	sa				l'on a été si long-tems à le connoitre , & à s'en servir .	lard corrompu					108 Antilles.txt	pasquale.tsv	Car ce parfum si precieus & si admirable , lors qu'il est encore frais , & mol, & qu'il ne fait que sortir de la mer, sent tres-mauvais, & les animaus y courent en même fasson, qu'ils vont aus charognes : Car ion odeur est à peu près , comme du lard corrompu, il est à croire, que c'est pour cette raison , que l'on a été si long-tems à le connoitre, & à s'en servir.
odeur			Anciens	mauvaise	capable de faire mal au cœur						108 Antilles.txt	pasquale.tsv	Les Anciens iugeoient de sa vertu, per la mauvaise odeur, plutôt capable de faire mal au cœur, que de le réjouir, ainsi ils le rejettoient comme inutile, ou méme nuisible.
odeur	d'Ambre			bonne							108 Antilles.txt	pasquale.tsv	Mais apres l'avoir gardé quelque tems dans leur ventre , ils le rendent sans qu'il soit aucunement digéré : Seulement il y perd vne partie de sa qualité, & de sa bonne odeur,C'est pourquoy cette sorte d'Ambre, qu'on appelle Renardé, est moins prisée que l'autre, & ne s'employe gueresqu'aus parfums.
parfums	d'Ambre										108 Antilles.txt	pasquale.tsv	Mais apres l'avoir gardé quelque tems dans leur ventre , ils le rendent sans qu'il soit aucunement digéré : Seulement il y perd vne partie de sa qualité, & de sa bonne odeur,C'est pourquoy cette sorte d'Ambre, qu'on appelle Renardé, est moins prisée que l'autre, & ne s'employe gueresqu'aus parfums.
l'odorat											101F Cloquet 1821 Osphresiologie.txt	pasquale.tsv	Enfin l'odorat est en rapport assez immédiat avec\rles fonctions de la génération.
parfumer											101F Cloquet 1821 Osphresiologie.txt	pasquale.tsv	Le soin que beaucoup de femmes mettent à se parfumer semble en\rêtre une preuve ; celle qui est savante dans l'art\rde plaire ne vous laisse pénétrer jusqu'à elle qu'après vous avoir préparé à l'effet de ses charmes pur\rcelui des odeurs.
odeurs											101F Cloquet 1821 Osphresiologie.txt	pasquale.tsv	Le soin que beaucoup de femmes mettent à se parfumer semble en\rêtre une preuve ; celle qui est savante dans l'art\rde plaire ne vous laisse pénétrer jusqu'à elle qu'après vous avoir préparé à l'effet de ses charmes pur\rcelui des odeurs.
l'odeur	sein	leur									101F Cloquet 1821 Osphresiologie.txt	pasquale.tsv	La saison des fleurs est celle des amours ; l'odeur qui s'exhale de leur sein épanoui , en parfumant le zéphyr, fait entrer au fond du\rcœur un charme irrésistible ; les idées voluptueuses se lient à celles des jardins ou des ombrages\rodorans; et les poètes attribuent, avec raison, aux parfums la propriété de porter dans l'âme une\rdouce ivresse , une langueur entraînante ; avec eux , c'est la volupté même qu'on respire.
parfumant	sein	zéphyr									101F Cloquet 1821 Osphresiologie.txt	pasquale.tsv	La saison des fleurs est celle des amours ; l'odeur qui s'exhale de leur sein épanoui , en parfumant le zéphyr, fait entrer au fond du\rcœur un charme irrésistible ; les idées voluptueuses se lient à celles des jardins ou des ombrages\rodorans; et les poètes attribuent, avec raison, aux parfums la propriété de porter dans l'âme une\rdouce ivresse , une langueur entraînante ; avec eux , c'est la volupté même qu'on respire.
odorans	ombrages | jardins										101F Cloquet 1821 Osphresiologie.txt	pasquale.tsv	La saison des fleurs est celle des amours ; l'odeur qui s'exhale de leur sein épanoui , en parfumant le zéphyr, fait entrer au fond du\rcœur un charme irrésistible ; les idées voluptueuses se lient à celles des jardins ou des ombrages\rodorans; et les poètes attribuent, avec raison, aux parfums la propriété de porter dans l'âme une\rdouce ivresse , une langueur entraînante ; avec eux , c'est la volupté même qu'on respire.
parfums			poètes			douce ivresse					101F Cloquet 1821 Osphresiologie.txt	pasquale.tsv	La saison des fleurs est celle des amours ; l'odeur qui s'exhale de leur sein épanoui , en parfumant le zéphyr, fait entrer au fond du\rcœur un charme irrésistible ; les idées voluptueuses se lient à celles des jardins ou des ombrages\rodorans; et les poètes attribuent, avec raison, aux parfums la propriété de porter dans l'âme une\rdouce ivresse , une langueur entraînante ; avec eux , c'est la volupté même qu'on respire.
parfums	fleurs										101F Cloquet 1821 Osphresiologie.txt	pasquale.tsv	L'amour dont vos parfums enflamment le délire,\rSouvent par vos bosquets étendit son empire.
L'odorat		l'air									101F Cloquet 1821 Osphresiologie.txt	pasquale.tsv	L'odorat semble ici le précurseur de l'amour, et l'air en est le messager.
parfumée		atmosphère	Mahon							siècle de Louis XV	101F Cloquet 1821 Osphresiologie.txt	pasquale.tsv	Il le savait bien ce vain-\rqueur de Mahon et de tant de beautés du siècle de Louis XV, lui qui avait toujours soin de s'entourer d'une atmosphère parfumée.
odeurs	civette		leur | rossignols	suaves	faire chanter les rossignols en cage | stimulent les oiseaux à chanter | augmentant leur flamme amoureuse						101F Cloquet 1821 Osphresiologie.txt	pasquale.tsv	Olina (1) conseille la civette comme propre à faire chanter\rles rossignols en cage; car, dit-il, les odeurs suaves stimulent les oiseaux à chanter, sans doute en\raugmentant leur flamme amoureuse.
exhaler			odeur								101F Cloquet 1821 Osphresiologie.txt	pasquale.tsv	Il suffit encore , sur ce point , d'en attester les soins mêmes que la Nature a pris de faire exhaler\rune odeur forte et spéciale aux organes sexuels de la plupart des animaux ; telle est celle du musc ,\rde la civette , du castoreum que nous offrent les genettes , les chevrotins , les muscardins, les on-\rdatras, les bœufs musqués, les buffles, les boucs, les moufettes, les zorilles , les putois, etc.
odeur	organes sexuels de la plupart des animaux | musc | civette | castoreum | chevrotins | muscardins | putois | zorilles | bœufs musqués | on - datras | buffles | boucs | moufettes			forte | spéciale							101F Cloquet 1821 Osphresiologie.txt	pasquale.tsv	Il suffit encore , sur ce point , d'en attester les soins mêmes que la Nature a pris de faire exhaler\rune odeur forte et spéciale aux organes sexuels de la plupart des animaux ; telle est celle du musc ,\rde la civette , du castoreum que nous offrent les genettes , les chevrotins , les muscardins, les on-\rdatras, les bœufs musqués, les buffles, les boucs, les moufettes, les zorilles , les putois, etc.
odeur	son			modérée		l'Ail					097F Charas 1668 Histoire naturelle des animaux.txt	pasquale.tsv	C'est une plante assez petite, assez molle 9 & assez tendre, ayant sa tige quarrée, & ses feuilles d'une couleur verte pàle, longuettes & un peu dentelées en forme de scie, sa fleur est fort petite & de couleur bleue pâle tirant sur le rouge, sortant parmi les feuilles , le long de la tige, & sur tout vers les sommitez, son goust est assez amer & desagreable, & son odeur approche fort de celle de l'Ail , mais elle est bien plus modérée & sent un peu le marécage.
parfums											010F Holbach 1768 Théologie portative.txt	thibault.tsv	Cassolette sacrée dans laquelle on fait brûler des parfums pour régaler les                  narines de la divinité; les prêtres sont ses parfumeurs privilégiés ; mettre la                     main à                  l'encensoir se dit donc par métaphore pour désigner le crime détestable de                  tout prince ou magistrat qui auroient l'impertinence de mettre le nez dans les                  affaires des prêtres, sans en être priés
Odeur											010F Holbach 1768 Théologie portative.txt	thibault.tsv	Odeur de sainteté.
l'odeur	capucin		devots								010F Holbach 1768 Théologie portative.txt	thibault.tsv	Les saints ne sont pas communément des seigneurs bien musqués; mais l'odeur qui                  s'exhale d'un capucin, sur-tout après sa mort, est pour les nez devots un parfum                  plus délectable que l'eau des sultanes ne peut l'être pour le nez d'un                  mondain.
parfum						plus délectable que l'eau des sultanes ne peut l'être pour le nez d'un mondain					010F Holbach 1768 Théologie portative.txt	thibault.tsv	Les saints ne sont pas communément des seigneurs bien musqués; mais l'odeur qui                  s'exhale d'un capucin, sur-tout après sa mort, est pour les nez devots un parfum                  plus délectable que l'eau des sultanes ne peut l'être pour le nez d'un                  mondain.
parfums		Encensoir	divinité		régaler les narines de la divinité						010F Holbach 1768 Théologie portative.txt	pasquale.tsv	Cassolette sacrée dans laquelle on fait brûler des parfums pour régaler les                  narines de la divinité; les prêtres sont ses parfumeurs privilégiés ; mettre la                     main à                  l'encensoir se dit donc par métaphore pour désigner le crime détestable de                  tout prince ou magistrat qui auroient l'impertinence de mettre le nez dans les                  affaires des prêtres, sans en être priés
Odeur	sainteté | l'odeur										010F Holbach 1768 Théologie portative.txt	pasquale.tsv	Odeur de sainteté.
l'odeur	capucin							après sa mort			010F Holbach 1768 Théologie portative.txt	pasquale.tsv	Les saints ne sont pas communément des seigneurs bien musqués; mais l'odeur qui                  s'exhale d'un capucin, sur-tout après sa mort, est pour les nez devots un parfum                  plus délectable que l'eau des sultanes ne peut l'être pour le nez d'un                  mondain.
délectable			les nez devots	délectable | l'odeur							010F Holbach 1768 Théologie portative.txt	pasquale.tsv	Les saints ne sont pas communément des seigneurs bien musqués; mais l'odeur qui                  s'exhale d'un capucin, sur-tout après sa mort, est pour les nez devots un parfum                  plus délectable que l'eau des sultanes ne peut l'être pour le nez d'un                  mondain.
l'être	l'eau des sultanes		mondain								010F Holbach 1768 Théologie portative.txt	pasquale.tsv	Les saints ne sont pas communément des seigneurs bien musqués; mais l'odeur qui                  s'exhale d'un capucin, sur-tout après sa mort, est pour les nez devots un parfum                  plus délectable que l'eau des sultanes ne peut l'être pour le nez d'un                  mondain.
exhale				tendre		parfum de la rose					0021F Anonymous 1794 Courier du Pas-de-Calais.txt	thibault.tsv	Age de l'aimable innocence ,Age du bonheur, de la paix i Toi que ne troublèrent jamais Ni la crainte, ni l'espérance;Toi qui fut comblé de présens ;Age charment , naïve enfance ,Viens prêter à mes vers tes attraits séduisansvSur ton front la gaîté repose ;Le calme habite dans ton coeur;Tu brilles , pareille à la fleur Dans les champs fraîchement éclose;Et ton haleine a ïa douceur.,Le tendre parfum de la rose Qui dans les airs charmés exhale son odeur.
odeur	haleine	airs									0021F Anonymous 1794 Courier du Pas-de-Calais.txt	thibault.tsv	Age de l'aimable innocence ,Age du bonheur, de la paix i Toi que ne troublèrent jamais Ni la crainte, ni l'espérance;Toi qui fut comblé de présens ;Age charment , naïve enfance ,Viens prêter à mes vers tes attraits séduisansvSur ton front la gaîté repose ;Le calme habite dans ton coeur;Tu brilles , pareille à la fleur Dans les champs fraîchement éclose;Et ton haleine a ïa douceur.,Le tendre parfum de la rose Qui dans les airs charmés exhale son odeur.
parfum	haleine					son				enfance	0021F Anonymous 1794 Courier du Pas-de-Calais.txt	pasquale.tsv	Age de l'aimable innocence ,Age du bonheur, de la paix i Toi que ne troublèrent jamais Ni la crainte, ni l'espérance;Toi qui fut comblé de présens ;Age charment , naïve enfance ,Viens prêter à mes vers tes attraits séduisansvSur ton front la gaîté repose ;Le calme habite dans ton coeur;Tu brilles , pareille à la fleur Dans les champs fraîchement éclose;Et ton haleine a ïa douceur.,Le tendre parfum de la rose Qui dans les airs charmés exhale son odeur.
exhale	son										0021F Anonymous 1794 Courier du Pas-de-Calais.txt	pasquale.tsv	Age de l'aimable innocence ,Age du bonheur, de la paix i Toi que ne troublèrent jamais Ni la crainte, ni l'espérance;Toi qui fut comblé de présens ;Age charment , naïve enfance ,Viens prêter à mes vers tes attraits séduisansvSur ton front la gaîté repose ;Le calme habite dans ton coeur;Tu brilles , pareille à la fleur Dans les champs fraîchement éclose;Et ton haleine a ïa douceur.,Le tendre parfum de la rose Qui dans les airs charmés exhale son odeur.
