Pos	Smell_Word	Smell_Source	Odour_Carrier	Perceiver	Quality	Effect	Evoked_Odorant	Creator	Circumstances	Location	Time	Emotion	Emotion_Type	Emotion_Sentiment	Emotion_Other	Title	Annotator	Sentence
1-14	fetore									appartamenti		fetore	Smell_Word | Disgust	Negative		1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	Memoria del medico Gioseffantonio Dardana intorno ai mezzi di togliere agli appartamenti il fetore comunicato dai luoghi segreti; di migliorare le condizioni degli ospedali riguardo la salubrita '  di essi; e del modo di espurgar le cloache piu '  comodo Giuseppe Antonio Dardana 3 iL NOBILISSIMO ED OINAIIISIM» CAVILIEII GIUSEPPE AVOGADRO DI CASANOVA GENTILUOMO DI CAMERA DI S.M.
13-19	fetidi	delle varie immondezze	effluvj			sieno alla umana sanila perniciosi						fetidi | perniciosi | fetidi	Disgust | Smell_Word	Negative		1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	J_\\| on v ' ha chi non sappia quanto sieno alla umana sanila perniciosi i fetidi effluvj delle varie immondezze, le quali neglette accumulando a poco a poco si vanno nelle anguste contrade, ne '  cortili delle case, di quelle massime da maggior numero di abitatori frequentate, spezialmente nelle piti popolose Città ; le esalazioni de '  luoghi segreti cosi chiamati ( a ) nelle case stesse , e quegli aliti impuri e putridi, che esalano da ( a ) Volgarmente anche comodi , luoghi comuni , tnbisem itgreii , ceni e simili; in Fianc, kt litué privìi, 0 semplicemente lei molte persone o rinchiuse fra il sudiciume in cupe e strette prigioni , o giacentisi misere in letto per piaghe , per putride malattie negli Ospedali.
13-62	esalazioni									de ' luoghi segreti						1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	J_\\| on v ' ha chi non sappia quanto sieno alla umana sanila perniciosi i fetidi effluvj delle varie immondezze, le quali neglette accumulando a poco a poco si vanno nelle anguste contrade, ne '  cortili delle case, di quelle massime da maggior numero di abitatori frequentate, spezialmente nelle piti popolose Città ; le esalazioni de '  luoghi segreti cosi chiamati ( a ) nelle case stesse , e quegli aliti impuri e putridi, che esalano da ( a ) Volgarmente anche comodi , luoghi comuni , tnbisem itgreii , ceni e simili; in Fianc, kt litué privìi, 0 semplicemente lei molte persone o rinchiuse fra il sudiciume in cupe e strette prigioni , o giacentisi misere in letto per piaghe , per putride malattie negli Ospedali.
13-81	putridi	quegli aliti impuri			putridi											1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	J_\\| on v ' ha chi non sappia quanto sieno alla umana sanila perniciosi i fetidi effluvj delle varie immondezze, le quali neglette accumulando a poco a poco si vanno nelle anguste contrade, ne '  cortili delle case, di quelle massime da maggior numero di abitatori frequentate, spezialmente nelle piti popolose Città ; le esalazioni de '  luoghi segreti cosi chiamati ( a ) nelle case stesse , e quegli aliti impuri e putridi, che esalano da ( a ) Volgarmente anche comodi , luoghi comuni , tnbisem itgreii , ceni e simili; in Fianc, kt litué privìi, 0 semplicemente lei molte persone o rinchiuse fra il sudiciume in cupe e strette prigioni , o giacentisi misere in letto per piaghe , per putride malattie negli Ospedali.
13-84	esalano	quegli aliti impuri										impuri e putridi	Disgust	Negative		1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	J_\\| on v ' ha chi non sappia quanto sieno alla umana sanila perniciosi i fetidi effluvj delle varie immondezze, le quali neglette accumulando a poco a poco si vanno nelle anguste contrade, ne '  cortili delle case, di quelle massime da maggior numero di abitatori frequentate, spezialmente nelle piti popolose Città ; le esalazioni de '  luoghi segreti cosi chiamati ( a ) nelle case stesse , e quegli aliti impuri e putridi, che esalano da ( a ) Volgarmente anche comodi , luoghi comuni , tnbisem itgreii , ceni e simili; in Fianc, kt litué privìi, 0 semplicemente lei molte persone o rinchiuse fra il sudiciume in cupe e strette prigioni , o giacentisi misere in letto per piaghe , per putride malattie negli Ospedali.
13-135	putride	malattie								negli Ospedali		putride | putride	Disgust | Smell_Word	Negative		1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	J_\\| on v ' ha chi non sappia quanto sieno alla umana sanila perniciosi i fetidi effluvj delle varie immondezze, le quali neglette accumulando a poco a poco si vanno nelle anguste contrade, ne '  cortili delle case, di quelle massime da maggior numero di abitatori frequentate, spezialmente nelle piti popolose Città ; le esalazioni de '  luoghi segreti cosi chiamati ( a ) nelle case stesse , e quegli aliti impuri e putridi, che esalano da ( a ) Volgarmente anche comodi , luoghi comuni , tnbisem itgreii , ceni e simili; in Fianc, kt litué privìi, 0 semplicemente lei molte persone o rinchiuse fra il sudiciume in cupe e strette prigioni , o giacentisi misere in letto per piaghe , per putride malattie negli Ospedali.
14-5	odorato					e certo incomodo nella respirazione			che ciascun sente nel passar vicino a nue ' trivj , nell ' entrare ne ' comodi , nel visitare le carceri , e spesso spesso per sin gii Ospedali			ripugnanza | ripugnanza	Disgust	Negative		1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	Certa ripugnanza dell ' odorato, e certo incomodo nella respirazione , che ciascun sente nel passar vicino a nue ' trivj, nell '  entrare ne '  comodi , nel visitare le carceri , e spesso spesso per sin gii Ospedali , ne fan certa fede.
15-23	emanazioni	molte epidemiche malattie			eccitate											1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	Ma con maggior evidenza ancora spesse volte il dimostra la fatale esperienza di molte epidemiche malattie, le quali da tali micidiali emanazioni eccitate molti e molli ne involano de '  viventi y e de '  più utili personaggi §. 2.
24-48	fetore									nelle case | da ' luoghi segreti		fetore	Smell_Word | Disgust			1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	(b) Il Governa ne riparò già un '  altra , che par era «jenzialuiima e di gran ptso , colla sa/iiiira» atterrò in questa Memoria a parlare, che di tre sole: de '  mezzi di togliere nelle case il fetore comunicato da '  luoghi segreti, il che pur troppo riscontrasi molto frequente ; di migliorare le condizioni degli Ospedali, che ne abbisognano, riguardo la salubrità di essi; e del modo finalmente di espurgar le cloache (a) più comodo , meno insalubre, e men dispendioso.
28-14	insalubrità	dalle ncque							che vi stagnavan i ' intorno			poser pensiero a ripararle dalla insalubrità	Fear	Negative		1792_Memoria_del_medico_Gioseffantonio__36_distribution.tsv	noemi.tsv	Cosi per anche i Corpi stessi delle Città poser pensiero a ripararle dalla insalubrità prodotta dalle ncque , che vi stagnavan i '  intorno : come appunto si fece tempo fa in Novara sotto i ì ' J-cisiimi j!
