id	year	author	title	subtitle	link
C66ADDF2C0038F3ED24D321FD925ACFE.txt	1922	Paul Samuel Reinsch	Secret Diplomacy: How Far Can It Be Eliminated?''		https://en.wikisource.org/wiki/Paul_Samuel_Reinsch_-_Secret_Diplomacy%2C_How_Far_Can_It_Be_Eliminated%3F_-_1922
B9B6E20BEF9BCB9E5A3F1403226551F8.txt	1900	Various	The Nation, Volume 71, August 9, 1900		https://en.wikisource.org/wiki/Nation_v71_no1832
B6CE5DB7DF0147E54907AF82C06ED713.txt	1988	Parliament of South Africa	Constitution Amendment Act, 1988		https://en.wikisource.org/wiki/Constitution_Amendment_Act%2C_1988
638C03416DD268B1EF42FECC3A2E2183.txt	1917	null	Poet Lore		https://en.wikisource.org/wiki/Poet_Lore%2C_volume_28%2C_1917
17A600A667FBC881DFD7ED9BB7636474.txt	1913	Frank L. Packard	Greater Love Hath No Man		https://en.wikisource.org/wiki/Frank_Packard_-_Greater_Love_Hath_No_Man
76AE406A3C7F4556B23CA8ECA9BD4D0A.txt	1914	William Edward Mead	The Grand Tour in the Eighteenth Century		https://en.wikisource.org/wiki/The_grand_tour_in_the_eighteenth_century_by_Mead%2C_William_Edward
3711C758576050DDE6171D467ED4E171.txt	1852	George Percy Badger	The Nestorians and their Rituals		https://en.wikisource.org/wiki/The_Nestorians_and_their_rituals%2C_volume_2
EAC5788DCDE951FD56F245FFACDFF327.txt	1875	Henry James	Transatlantic Sketches (Boston: James R. Osgood & Co., 1875)		https://en.wikisource.org/wiki/Transatlantic_Sketches_(Boston:_James_R._Osgood_%26_Co.%2C_1875)
3682EBD5D59133354D5E7C3024297EEA.txt	1919	Karl Kautsky	The Guilt of William Hohenzollern		https://en.wikisource.org/wiki/The_guilt_of_William_Hohenzollern
ED7FF8EF73548161CFFF880D845A1BEB.txt	1887	Robert Burns (1759-1796)	The Poetical Works of Robert Burns		https://en.wikisource.org/wiki/The_poetical_works_of_Robert_Burns
F50342A9BFD778E3AB7F536D78E063DD.txt	1901	Captain F. Brinkley	Japan: Its History, Arts, and Literature		https://en.wikisource.org/wiki/Japan:_Its_History%2C_Arts%2C_and_Literature
1BF918B8DDBA4D47E364959A89AED281.txt	1889	Henry Carey	Sally in our Alley		https://en.wikisource.org/wiki/Sally_in_our_Alley_(1889)
6C2B74FDF881C45F5DE6D2068F36671B.txt	1922	Unknown	The Ballads of Marko Kraljević		https://en.wikisource.org/wiki/The_Ballads_of_Marko_Kraljevi%C4%87
E94BDEDC596B096D4D74A9FE03525565.txt	1829	John Thomas Smith	Nollekens and his times (second edition)		https://en.wikisource.org/wiki/Nollekens_and_His_Times%2C_Volume_2
E9D45C72A2E3DAA0023DD9F437B04102.txt	1821	Percy Bysshe Shelley	Queen Mab		https://en.wikisource.org/wiki/Queen_Mab_(Shelley)
D30C768EEFE18DCC525635C4CF920667.txt	1717	Alexander Pope	The Works of Mr. Alexander Pope		https://en.wikisource.org/wiki/The_Works_of_Alexander_Pope_(1717)
B345663BD3C0FD1505092E85CE0C2FC5.txt	1916	Alexandre Benois	The Russian School of Painting		https://en.wikisource.org/wiki/Benois_-_The_Russian_School_of_Painting_(1916)
424EF3D5263EDC06F3605E8A51BA3BC0.txt	1985	US Air Force	National Personnel Records Center Request 3 - J. E. Ray		https://en.wikisource.org/wiki/Request_Pertaining_To_Military_Records_3_-_J._E._Ray
6C513C94866F29AB78410731E109149E.txt	1783	Dennis O'Bryen	A Defence of the Right Honorable the Earl of Shelburne		https://en.wikisource.org/wiki/A_Defence_of_the_Right_Honorable_the_Earl_of_Shelburne
089E1F81700B15DD620B92D436683838.txt	1909	Mabel Potter Daggett	In Lockerbie Street		https://en.wikisource.org/wiki/In_Lockerbie_Street
40BD181821D610B80CEDCF67F6ED20D0.txt	1913	Jessie Braham White, Jacob Grimm, Wilhelm Grimm	Snow White and the Seven Dwarfs		https://en.wikisource.org/wiki/Snow_White_and_the_Seven_Dwarfs
8391FAA026FDC65F428E83C7DA586ABC.txt	1872	Henry Scott Holland	Dean Aldrich: A Commemoration Speech		https://en.wikisource.org/wiki/Dean_Aldrich:_A_Commemoration_Speech
ADEFE801169719BB78D84694172311E8.txt	1747	Samuel Johnson	The Plan of a Dictionary of the English Language; addressed to the Right Honourable Philip Dormer, earl of Chesterfield		https://en.wikisource.org/wiki/The_plan_of_a_dictionary_of_the_English_language_-_Samuel_Johnson_(1747)
DA698045C4023CF358EA873915C84B19.txt	1918	Robert Louis Stevenson	New poems and variant readings		https://en.wikisource.org/wiki/New_poems_and_variant_readings%2C_Stevenson%2C_1918
9E96E43A649A9582B4BA45BBAC4DB161.txt	1920	John Frederick	Riders of the Silences		https://en.wikisource.org/wiki/RidersOfSilences_-_Max_Brand
3DAA6DEFF1DD66EDCB73E553E562A098.txt	2009	null	Proclamation No. R. 20 of 2009: Commencement of the Constitution Sixteenth Amendment Act of 2009		https://en.wikisource.org/wiki/Commencement_of_the_Constitution_Sixteenth_Amendment_Act_of_2009
D29774E86E9BF38DDFD8E1E35667EA44.txt	1844	Richard Cannon	Historical Record of the Fifty-Sixth, or the West Essex Regiment of Foot		https://en.wikisource.org/wiki/Historical_Record_of_the_Fifty-Sixth%2C_or_the_West_Essex_Regiment_of_Foot
08A19EABD788FAA7E23565F5753BA9E0.txt	1921	null	The Cambridge History of American Literature		https://en.wikisource.org/wiki/The_Cambridge_History_of_American_Literature%2C_v3
A4B4B3EEA1013EF382CB597B1C978018.txt	1883	Vātsyāyana	The Kama Sutra of Vatsyayana		https://en.wikisource.org/wiki/The_Kama_Sutra_of_Vatsyayana
B7FD09E88D859308A49CC30B5719978B.txt	1901	Edward Stratemeyer	Under MacArthur in Luzon		https://en.wikisource.org/wiki/Under_MacArthur_in_Luzon
D4723E4580B9E6C98D5AF66D65DDFB3B.txt	1922	Walter Lippmann	Public Opinion		https://en.wikisource.org/wiki/Public_Opinion_(Lippmann)
EFD28105EE54FEC7B5925647EAF10DF7.txt	1921	null	Oregon Historical Quarterly		https://en.wikisource.org/wiki/Oregon_Historical_Quarterly_volume_22
DC91E2D32EBAF37C69798018DB3AC6FB.txt	1920	Ezra Pound	Hugh Selwyn Mauberley		https://en.wikisource.org/wiki/Hugh_Selwyn_Mauberley
B08E8147B199047F517D79AF5F036DAB.txt	1905	null	The Souvenir of Western Women		https://en.wikisource.org/wiki/The_Souvenir_of_Western_Women
